dataset,partition,scheme,pool_size,test_identities,chance_top1,one_record_top1_mean,top1_mean,top1_std,auroc_mean,eer_mean,minimum_clustered_lower,maximum_clustered_upper,top1_over_chance_1,top1_over_chance_10,amplification_pp,interval_excludes_chance,source_file
MOBIO,A,BioHash,1,30,0.033333,,0.663889,0.014633,0.969204,0.104310,0.487500,0.833333,,19.916670,,True,mobio_multiexposure/key_pool_boundary_summary.csv
MOBIO,A,BioHash,2,30,0.033333,,0.611111,0.100462,0.963859,0.098755,0.350000,0.858333,,18.333330,,True,mobio_multiexposure/key_pool_boundary_summary.csv
MOBIO,A,BioHash,5,30,0.033333,,0.476389,0.062546,0.935129,0.148539,0.249896,0.687500,,14.291670,,True,mobio_multiexposure/key_pool_boundary_summary.csv
MOBIO,A,BioHash,10,30,0.033333,,0.338889,0.047932,0.904297,0.160800,0.150000,0.533333,,10.166670,,True,mobio_multiexposure/key_pool_boundary_summary.csv
MOBIO,A,BioHash,fresh,30,0.033333,,0.029167,0.007217,0.499139,0.497653,0.000000,0.100000,,0.875010,,False,mobio_multiexposure/key_pool_boundary_summary.csv
MOBIO,A,BioHash,1,30,0.033333,,0.775000,0.114564,0.975426,0.085057,0.500000,1.000000,,23.250000,,True,mobio_multiexposure/random_key_pool_confirmation_summary.csv
MOBIO,A,BioHash,2,30,0.033333,,0.694444,0.037807,0.960789,0.105292,0.491667,0.870833,,20.833320,,True,mobio_multiexposure/random_key_pool_confirmation_summary.csv
MOBIO,A,BioHash,5,30,0.033333,,0.469444,0.042763,0.892726,0.213937,0.262396,0.683333,,14.083320,,True,mobio_multiexposure/random_key_pool_confirmation_summary.csv
MOBIO,A,BioHash,10,30,0.033333,,0.055556,0.019245,0.525664,0.481370,0.000000,0.166667,,1.666680,,False,mobio_multiexposure/random_key_pool_confirmation_summary.csv
MOBIO,A,BioHash,fresh,30,0.033333,,0.055556,0.019245,0.499158,0.511973,0.000000,0.166667,,1.666680,,False,mobio_multiexposure/random_key_pool_confirmation_summary.csv
MOBIO,B,BioHash,1,30,0.033333,0.759722,0.816667,0.077840,0.980273,0.080987,0.575000,0.987500,22.791660,24.500010,5.694500,True,mobio_multiexposure/key_pool_split_replication_summary.csv
MOBIO,B,BioHash,2,30,0.033333,0.350000,0.738889,0.111207,0.978862,0.073707,0.441667,0.945833,10.500000,22.166670,38.888900,True,mobio_multiexposure/key_pool_split_replication_summary.csv
MOBIO,B,BioHash,5,30,0.033333,0.043056,0.511111,0.085831,0.932490,0.149521,0.283333,0.745833,1.291680,15.333330,46.805500,True,mobio_multiexposure/key_pool_split_replication_summary.csv
MOBIO,B,BioHash,10,30,0.033333,0.043056,0.055556,0.019245,0.549400,0.482160,0.000000,0.166667,1.291680,1.666680,1.250000,False,mobio_multiexposure/key_pool_split_replication_summary.csv
MOBIO,B,BioHash,fresh,30,0.033333,0.040278,0.036111,0.004811,0.502260,0.493487,0.000000,0.116667,1.208340,1.083330,-0.416700,False,mobio_multiexposure/key_pool_split_replication_summary.csv
MOBIO,A,BioHash,3,30,0.033333,0.275000,0.650000,0.071200,0.961003,0.119181,0.395833,0.862500,8.250000,19.500000,37.500000,True,mobio_multiexposure/dense_key_pool_sweep_summary.csv
MOBIO,A,BioHash,4,30,0.033333,0.034722,0.540278,0.046460,0.931472,0.138625,0.324896,0.737500,1.041660,16.208340,50.555600,True,mobio_multiexposure/dense_key_pool_sweep_summary.csv
MOBIO,A,BioHash,6,30,0.033333,0.034722,0.173611,0.181637,0.692355,0.369301,0.000000,0.545937,1.041660,5.208330,13.888900,False,mobio_multiexposure/dense_key_pool_sweep_summary.csv
MOBIO,A,BioHash,7,30,0.033333,0.041667,0.344444,0.037345,0.893122,0.191547,0.183229,0.558333,1.250010,10.333320,30.277700,True,mobio_multiexposure/dense_key_pool_sweep_summary.csv
MOBIO,A,BioHash,8,30,0.033333,0.040278,0.104167,0.115545,0.643204,0.382232,0.000000,0.375000,1.208340,3.125010,6.388900,False,mobio_multiexposure/dense_key_pool_sweep_summary.csv
MOBIO,A,BioHash,9,30,0.033333,0.031944,0.038889,0.013394,0.557993,0.454574,0.000000,0.141667,0.958320,1.166670,0.694500,False,mobio_multiexposure/dense_key_pool_sweep_summary.csv
