control,condition,model,top1_mean_percent,top1_std_percent,auroc_mean,seed_top1_percent,min_clustered_lower_percent
hidden_slot,random_key_pool_3,deepsets,55.2778,4.1107,0.951734,53.33|52.50|60.00,35.42
hidden_slot,random_key_pool_4,deepsets,46.2500,13.4822,0.924890,30.83|55.83|52.08,16.25
hidden_slot,random_key_pool_5,deepsets,32.9167,3.7034,0.872533,37.08|31.67|30.00,16.67
hidden_slot,random_key_pool_7,deepsets,23.7500,3.9747,0.852775,27.92|23.33|20.00,8.33
hidden_slot,independent_unseen_keys,deepsets,3.3333,0.0000,0.499459,3.33|3.33|3.33,0.00
known_slot,random_key_pool_3,deepsets,57.0833,3.3333,0.949626,60.42|57.08|53.75,37.92
known_slot,random_key_pool_4,deepsets,50.6944,5.5486,0.932821,57.08|47.92|47.08,30.00
known_slot,random_key_pool_5,deepsets,33.6111,4.2560,0.868734,36.67|35.42|28.75,15.00
known_slot,random_key_pool_7,deepsets,22.9167,3.1458,0.805641,26.25|20.00|22.50,6.67
shuffled_non_anchor,random_key_pool_3,mean_mlp,3.3333,0.0000,0.499398,3.33|3.33|3.33,0.00
shuffled_non_anchor,random_key_pool_4,mean_mlp,3.3333,0.0000,0.502857,3.33|3.33|3.33,0.00
shuffled_non_anchor,independent_unseen_keys,mean_mlp,3.3333,0.0000,0.500080,3.33|3.33|3.33,0.00
