condition,exposures,model,top1_mean,top1_std,auroc_mean,eer_mean
independent_unseen_keys,1,single_mlp,0.025000,0.011024,0.500644,0.504119
independent_unseen_keys,2,mean_mlp,0.037500,0.004167,0.499370,0.501724
independent_unseen_keys,2,max_mlp,0.033333,0.000000,0.499177,0.502921
independent_unseen_keys,2,deepsets,0.038889,0.009623,0.498874,0.502826
independent_unseen_keys,5,mean_mlp,0.036111,0.008674,0.498990,0.500934
independent_unseen_keys,5,max_mlp,0.034722,0.002406,0.501019,0.501772
independent_unseen_keys,5,deepsets,0.033333,0.000000,0.499543,0.501940
independent_unseen_keys,10,mean_mlp,0.033333,0.000000,0.498215,0.497725
independent_unseen_keys,10,max_mlp,0.033333,0.000000,0.500569,0.502323
independent_unseen_keys,10,deepsets,0.033333,0.000000,0.499835,0.498132
shared_key_calibration,1,single_mlp,0.584722,0.044553,0.944003,0.126628
shared_key_calibration,2,mean_mlp,0.716667,0.008333,0.971922,0.093870
shared_key_calibration,2,max_mlp,0.569444,0.030142,0.947001,0.132088
shared_key_calibration,2,deepsets,0.519444,0.047932,0.944007,0.132950
shared_key_calibration,5,mean_mlp,0.808333,0.019094,0.979783,0.066140
shared_key_calibration,5,max_mlp,0.554167,0.063053,0.944098,0.129334
shared_key_calibration,5,deepsets,0.598611,0.031273,0.955905,0.119875
shared_key_calibration,10,mean_mlp,0.741667,0.058333,0.976263,0.087189
shared_key_calibration,10,max_mlp,0.480556,0.124327,0.914839,0.165661
shared_key_calibration,10,deepsets,0.554167,0.027323,0.955666,0.123348
