condition,exposures,model,top1_mean,top1_std,auroc_mean,eer_mean
independent_unseen_keys,1,single_mlp,0.041667,0.019094,0.498274,0.490469
independent_unseen_keys,2,mean_mlp,0.026389,0.010486,0.496763,0.494109
independent_unseen_keys,2,max_mlp,0.030556,0.006365,0.499114,0.501149
independent_unseen_keys,2,deepsets,0.030556,0.004811,0.500182,0.495905
independent_unseen_keys,5,mean_mlp,0.031944,0.002406,0.498006,0.491451
independent_unseen_keys,5,max_mlp,0.030556,0.004811,0.500456,0.500024
independent_unseen_keys,5,deepsets,0.033333,0.000000,0.498754,0.499042
independent_unseen_keys,10,mean_mlp,0.033333,0.000000,0.495722,0.490326
independent_unseen_keys,10,max_mlp,0.033333,0.000000,0.499873,0.499904
independent_unseen_keys,10,deepsets,0.033333,0.000000,0.498766,0.498060
shared_key_calibration,1,single_mlp,0.734722,0.002406,0.958157,0.106944
shared_key_calibration,2,mean_mlp,0.827778,0.017347,0.973916,0.077802
shared_key_calibration,2,max_mlp,0.698611,0.012729,0.959995,0.097294
shared_key_calibration,2,deepsets,0.683333,0.030046,0.965214,0.088290
shared_key_calibration,5,mean_mlp,0.873611,0.033679,0.984919,0.059938
shared_key_calibration,5,max_mlp,0.576389,0.022948,0.941893,0.128017
shared_key_calibration,5,deepsets,0.702778,0.013394,0.967854,0.077371
shared_key_calibration,10,mean_mlp,0.751389,0.010486,0.967167,0.081202
shared_key_calibration,10,max_mlp,0.420833,0.079495,0.893704,0.190876
shared_key_calibration,10,deepsets,0.575000,0.046398,0.946892,0.099713
