dataset,scheme,split_seed,condition,model,gain,lower95,upper95,seed_gain_min,seed_gain_max,leave_one_seed_out_min,identities_with_positive_mean_gain,identity_clusters,signflip_p,analysis,holm_p
FEI,IoM-GRP,91831,independent_unseen_keys,mean_mlp,0.011458333333333333,-0.014583333333333334,0.057291666666666664,0.00625,0.01875,0.0078125,1,40,0.9832,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
FEI,IoM-GRP,91831,independent_unseen_keys,deepsets,0.011458333333333333,-0.014583333333333334,0.057291666666666664,0.00625,0.01875,0.0078125,1,40,0.9832,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
FEI,IoM-GRP,91831,random_key_pool_1,mean_mlp,0.0,0.0,0.0,0.0,0.0,0.0,0,40,1.0,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
FEI,IoM-GRP,91831,random_key_pool_1,deepsets,-0.06145833333333333,-0.14166666666666666,0.0,-0.084375,-0.025,-0.0796875,0,40,0.0648,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
FEI,IoM-GRP,91831,random_key_pool_4,mean_mlp,0.28229166666666666,0.20625,0.365625,0.25,0.33125,0.2578125,36,40,0.0004,post_hoc_two_sided_family_48; original_primary_unchanged,0.019200000000000002
FEI,IoM-GRP,91831,random_key_pool_4,deepsets,0.08645833333333333,-0.03648437499999999,0.19166666666666668,0.00625,0.140625,0.059375000000000004,24,40,0.0296,post_hoc_two_sided_family_48; original_primary_unchanged,0.8288
FEI,IoM-GRP,91843,independent_unseen_keys,mean_mlp,-0.005208333333333333,-0.03958333333333333,0.019791666666666666,-0.015625,0.00625,-0.0109375,1,40,0.6084,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
FEI,IoM-GRP,91843,independent_unseen_keys,deepsets,-0.005208333333333333,-0.03958333333333333,0.019791666666666666,-0.015625,0.00625,-0.0109375,1,40,0.6084,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
FEI,IoM-GRP,91843,random_key_pool_1,mean_mlp,-0.003125,-0.046875,0.01875,-0.025,0.009375,-0.009375000000000001,2,40,1.0,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
FEI,IoM-GRP,91843,random_key_pool_1,deepsets,-0.08229166666666667,-0.16770833333333332,-0.013541666666666667,-0.096875,-0.065625,-0.09062500000000001,0,40,0.0164,post_hoc_two_sided_family_48; original_primary_unchanged,0.5248
FEI,IoM-GRP,91843,random_key_pool_4,mean_mlp,0.25833333333333336,0.18747395833333333,0.3375,0.225,0.29375,0.24062499999999998,30,40,0.0004,post_hoc_two_sided_family_48; original_primary_unchanged,0.019200000000000002
FEI,IoM-GRP,91843,random_key_pool_4,deepsets,0.035416666666666666,-0.06773437499999999,0.134375,-0.015625,0.1,0.0031249999999999993,18,40,0.3564,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
FEI,PolyProtect,91831,independent_unseen_keys,mean_mlp,-0.01875,-0.059375,0.00625,-0.028125,-0.00625,-0.025,1,40,0.3048,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
FEI,PolyProtect,91831,independent_unseen_keys,deepsets,-0.003125,-0.035416666666666666,0.03229166666666667,-0.0125,0.003125,-0.00625,1,40,0.7684,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
