dataset,split_seed,arm,key_seed,records,unique_keys,reference_max_abs_error,nonlinear_residual_relative_l2_median,matcher_max_abs_error,matcher_prediction_disagreements,gallery_order_disagreements,top_score_ties,probe_count,gallery_count,gallery_probe_overlap
MOBIO,91831,unit,91873,360,360,0.0,0.07873300462961197,6.661338147750939e-16,0,0,0,330,30,0
MOBIO,91831,unit,91879,360,360,0.0,0.08382178097963333,6.661338147750939e-16,0,0,0,330,30,0
MOBIO,91831,unit,91883,360,360,0.0,0.07563608884811401,4.440892098500626e-16,0,0,0,330,30,0
MOBIO,91831,raw,91873,360,360,0.0,0.9994841814041138,5.551115123125783e-16,0,0,0,330,30,0
MOBIO,91831,raw,91879,360,360,0.0,0.9996868371963501,8.881784197001252e-16,0,0,0,330,30,0
MOBIO,91831,raw,91883,360,360,0.0,0.9996912479400635,9.992007221626409e-16,0,0,0,330,30,0
MOBIO,91831,norm_shuffled,91873,360,360,0.0,0.9994880557060242,5.551115123125783e-16,0,0,0,330,30,0
MOBIO,91831,norm_shuffled,91879,360,360,0.0,0.9996199607849121,8.881784197001252e-16,0,0,0,330,30,0
MOBIO,91831,norm_shuffled,91883,360,360,0.0,0.9996960163116455,1.1102230246251565e-15,0,0,0,330,30,0
MOBIO,91831,fixed_radius,91873,360,360,0.0,0.999433696269989,8.881784197001252e-16,0,0,0,330,30,0
MOBIO,91831,fixed_radius,91879,360,360,0.0,0.9996182918548584,4.440892098500626e-16,0,0,0,330,30,0
MOBIO,91831,fixed_radius,91883,360,360,0.0,0.9996541738510132,6.661338147750939e-16,0,0,0,330,30,0
MOBIO,91843,unit,91873,359,359,0.0,0.07411900162696838,6.661338147750939e-16,0,0,0,329,30,0
MOBIO,91843,unit,91879,359,359,0.0,0.07755916565656662,8.881784197001252e-16,0,0,0,329,30,0
MOBIO,91843,unit,91883,359,359,0.0,0.07472728937864304,5.551115123125783e-16,0,0,0,329,30,0
MOBIO,91843,raw,91873,359,359,0.0,0.9995803833007812,5.551115123125783e-16,0,0,0,329,30,0
MOBIO,91843,raw,91879,359,359,0.0,0.9996587038040161,6.106226635438361e-16,0,0,0,329,30,0
MOBIO,91843,raw,91883,359,359,0.0,0.9997197985649109,7.771561172376096e-16,0,0,0,329,30,0
MOBIO,91843,norm_shuffled,91873,359,359,0.0,0.9995318651199341,8.881784197001252e-16,0,0,0,329,30,0
MOBIO,91843,norm_shuffled,91879,359,359,0.0,0.9996039867401123,6.661338147750939e-16,0,0,0,329,30,0
MOBIO,91843,norm_shuffled,91883,359,359,0.0,0.9997158050537109,5.551115123125783e-16,0,0,0,329,30,0
MOBIO,91843,fixed_radius,91873,359,359,0.0,0.999515950679779,6.661338147750939e-16,0,0,0,329,30,0
MOBIO,91843,fixed_radius,91879,359,359,0.0,0.9996052384376526,6.106226635438361e-16,0,0,0,329,30,0
MOBIO,91843,fixed_radius,91883,359,359,0.0,0.9997288584709167,8.881784197001252e-16,0,0,0,329,30,0
FEI,91831,unit,91873,475,475,0.0,0.08503744751214981,7.771561172376096e-16,0,0,0,435,40,0
FEI,91831,unit,91879,475,475,0.0,0.07859747856855392,8.881784197001252e-16,0,0,0,435,40,0
FEI,91831,unit,91883,475,475,0.0,0.07633337378501892,6.661338147750939e-16,0,0,0,435,40,0
