dataset,arm,key_seed,records,matcher_max_abs_error,matcher_prediction_disagreements,gallery_order_disagreements,top_score_ties,probe_count,gallery_count,gallery_probe_overlap
MOBIO,naive,92003,360,6.661338147750939e-16,0,0,0,330,30,0
MOBIO,stricter,92003,360,4.440892098500626e-16,0,0,0,330,30,0
MOBIO,naive,92011,360,7.771561172376096e-16,0,0,0,330,30,0
MOBIO,stricter,92011,360,5.551115123125783e-16,0,0,0,330,30,0
MOBIO,naive,92017,360,7.771561172376096e-16,0,0,0,330,30,0
MOBIO,stricter,92017,360,5.551115123125783e-16,0,0,0,330,30,0
SCface,naive,92003,570,4.440892098500626e-16,0,0,0,544,26,0
SCface,stricter,92003,570,4.996003610813204e-16,0,0,0,544,26,0
SCface,naive,92011,570,4.440892098500626e-16,0,0,0,544,26,0
SCface,stricter,92011,570,7.771561172376096e-16,0,0,0,544,26,0
SCface,naive,92017,570,8.881784197001252e-16,0,0,0,544,26,0
SCface,stricter,92017,570,4.440892098500626e-16,0,0,0,544,26,0
