dataset,scheme,split_seed,pools,model_seeds,identities,chance,contrast,gain,lower95,upper95,min_pool_gain,max_pool_gain,positive_pools,mean10_top1,reference_top1,inference
FEI,IoM-GRP,91831,3,3,40,0.025,mean10_minus_single1,0.2621527777777778,0.19963541666666668,0.3250086805555556,0.24791666666666667,0.2864583333333333,3,0.9885416666666667,0.7263888888888889,pointwise pool/seed/identity bootstrap; no corrected significance claim
FEI,IoM-GRP,91831,3,3,40,0.025,mean10_minus_prediction10,0.010069444444444445,-0.017708333333333333,0.049305555555555554,-0.013541666666666667,0.025,2,0.9885416666666667,0.9784722222222222,pointwise pool/seed/identity bootstrap; no corrected significance claim
FEI,IoM-GRP,91843,3,3,40,0.025,mean10_minus_single1,0.25381944444444443,0.18541666666666667,0.32952256944444447,0.215625,0.27708333333333335,3,0.921875,0.6680555555555555,pointwise pool/seed/identity bootstrap; no corrected significance claim
FEI,IoM-GRP,91843,3,3,40,0.025,mean10_minus_prediction10,-0.0010416666666666667,-0.06111979166666666,0.07083333333333333,-0.041666666666666664,0.05,1,0.921875,0.9229166666666667,pointwise pool/seed/identity bootstrap; no corrected significance claim
FEI,PolyProtect,91831,3,3,40,0.025,mean10_minus_single1,0.3034722222222222,0.003125,0.7010677083333334,-0.003125,0.7239583333333334,2,0.5756944444444444,0.2722222222222222,pointwise pool/seed/identity bootstrap; no corrected significance claim
FEI,PolyProtect,91831,3,3,40,0.025,mean10_minus_prediction10,0.2152777777777778,-0.10209201388888889,0.709375,-0.09583333333333334,0.7364583333333333,2,0.5756944444444444,0.36041666666666666,pointwise pool/seed/identity bootstrap; no corrected significance claim
FEI,PolyProtect,91843,3,3,40,0.025,mean10_minus_single1,0.29965277777777777,-0.025,0.6500260416666668,-0.03229166666666667,0.6739583333333333,2,0.5486111111111112,0.24895833333333334,pointwise pool/seed/identity bootstrap; no corrected significance claim
FEI,PolyProtect,91843,3,3,40,0.025,mean10_minus_prediction10,0.22708333333333333,-0.05,0.6645833333333333,-0.013541666666666667,0.684375,2,0.5486111111111112,0.3215277777777778,pointwise pool/seed/identity bootstrap; no corrected significance claim
MOBIO,IoM-GRP,91831,3,3,30,0.03333333333333333,mean10_minus_single1,0.38472222222222224,0.29583333333333334,0.47962962962962963,0.3486111111111111,0.4236111111111111,3,0.9643518518518519,0.5796296296296296,pointwise pool/seed/identity bootstrap; no corrected significance claim
MOBIO,IoM-GRP,91831,3,3,30,0.03333333333333333,mean10_minus_prediction10,0.011574074074074073,-0.029166666666666667,0.06018518518518518,-0.015277777777777777,0.03611111111111111,2,0.9643518518518519,0.9527777777777777,pointwise pool/seed/identity bootstrap; no corrected significance claim
MOBIO,IoM-GRP,91843,3,3,30,0.03333333333333333,mean10_minus_single1,0.3384259259259259,0.23748842592592592,0.43753472222222234,0.29305555555555557,0.4097222222222222,3,0.9166666666666666,0.5782407407407407,pointwise pool/seed/identity bootstrap; no corrected significance claim
MOBIO,IoM-GRP,91843,3,3,30,0.03333333333333333,mean10_minus_prediction10,-0.010648148148148148,-0.08055555555555556,0.06621527777777783,-0.043055555555555555,0.034722222222222224,1,0.9166666666666666,0.9273148148148148,pointwise pool/seed/identity bootstrap; no corrected significance claim
MOBIO,PolyProtect,91831,3,3,30,0.03333333333333333,mean10_minus_single1,0.2625,0.004618055555555559,0.5694444444444444,-0.002777777777777778,0.5888888888888889,2,0.48055555555555557,0.21805555555555556,pointwise pool/seed/identity bootstrap; no corrected significance claim
MOBIO,PolyProtect,91831,3,3,30,0.03333333333333333,mean10_minus_prediction10,0.1527777777777778,-0.14166666666666666,0.5542361111111114,-0.11944444444444445,0.5875,1,0.48055555555555557,0.3277777777777778,pointwise pool/seed/identity bootstrap; no corrected significance claim
MOBIO,PolyProtect,91843,3,3,30,0.03333333333333333,mean10_minus_single1,0.23935185185185184,0.009722222222222222,0.4930555555555556,0.008333333333333333,0.4777777777777778,3,0.4638888888888889,0.22453703703703703,pointwise pool/seed/identity bootstrap; no corrected significance claim
MOBIO,PolyProtect,91843,3,3,30,0.03333333333333333,mean10_minus_prediction10,0.12222222222222222,-0.1111111111111111,0.44863425925925937,-0.08611111111111111,0.4597222222222222,1,0.4638888888888889,0.3416666666666667,pointwise pool/seed/identity bootstrap; no corrected significance claim
