dataset,scheme,split_seed,pools,model_seeds,identities,chance,key_seed,contrast,gain,mean10_top1,reference_top1
FEI,IoM-GRP,91831,3,3,40,0.025,91901,mean10_minus_single1,0.2520833333333333,0.9760416666666667,0.7239583333333334
FEI,IoM-GRP,91831,3,3,40,0.025,91907,mean10_minus_single1,0.2864583333333333,0.9947916666666666,0.7083333333333334
FEI,IoM-GRP,91831,3,3,40,0.025,91909,mean10_minus_single1,0.24791666666666667,0.9947916666666666,0.746875
FEI,IoM-GRP,91831,3,3,40,0.025,91901,mean10_minus_prediction10,-0.013541666666666667,0.9760416666666667,0.9895833333333334
FEI,IoM-GRP,91831,3,3,40,0.025,91907,mean10_minus_prediction10,0.025,0.9947916666666666,0.9697916666666667
FEI,IoM-GRP,91831,3,3,40,0.025,91909,mean10_minus_prediction10,0.01875,0.9947916666666666,0.9760416666666667
FEI,IoM-GRP,91843,3,3,40,0.025,91901,mean10_minus_single1,0.215625,0.8885416666666667,0.6729166666666667
FEI,IoM-GRP,91843,3,3,40,0.025,91907,mean10_minus_single1,0.26875,0.934375,0.665625
FEI,IoM-GRP,91843,3,3,40,0.025,91909,mean10_minus_single1,0.27708333333333335,0.9427083333333334,0.665625
FEI,IoM-GRP,91843,3,3,40,0.025,91901,mean10_minus_prediction10,-0.041666666666666664,0.8885416666666667,0.9302083333333333
FEI,IoM-GRP,91843,3,3,40,0.025,91907,mean10_minus_prediction10,0.05,0.934375,0.884375
FEI,IoM-GRP,91843,3,3,40,0.025,91909,mean10_minus_prediction10,-0.011458333333333333,0.9427083333333334,0.9541666666666667
FEI,PolyProtect,91831,3,3,40,0.025,91901,mean10_minus_single1,-0.003125,0.08541666666666667,0.08854166666666667
FEI,PolyProtect,91831,3,3,40,0.025,91907,mean10_minus_single1,0.18958333333333333,0.8458333333333333,0.65625
FEI,PolyProtect,91831,3,3,40,0.025,91909,mean10_minus_single1,0.7239583333333334,0.7958333333333333,0.071875
FEI,PolyProtect,91831,3,3,40,0.025,91901,mean10_minus_prediction10,0.005208333333333333,0.08541666666666667,0.08020833333333334
FEI,PolyProtect,91831,3,3,40,0.025,91907,mean10_minus_prediction10,-0.09583333333333334,0.8458333333333333,0.9416666666666667
FEI,PolyProtect,91831,3,3,40,0.025,91909,mean10_minus_prediction10,0.7364583333333333,0.7958333333333333,0.059375
FEI,PolyProtect,91843,3,3,40,0.025,91901,mean10_minus_single1,-0.03229166666666667,0.05,0.08229166666666667
FEI,PolyProtect,91843,3,3,40,0.025,91907,mean10_minus_single1,0.25729166666666664,0.878125,0.6208333333333333
FEI,PolyProtect,91843,3,3,40,0.025,91909,mean10_minus_single1,0.6739583333333333,0.7177083333333333,0.04375
FEI,PolyProtect,91843,3,3,40,0.025,91901,mean10_minus_prediction10,0.010416666666666666,0.05,0.03958333333333333
FEI,PolyProtect,91843,3,3,40,0.025,91907,mean10_minus_prediction10,-0.013541666666666667,0.878125,0.8916666666666667
FEI,PolyProtect,91843,3,3,40,0.025,91909,mean10_minus_prediction10,0.684375,0.7177083333333333,0.03333333333333333
MOBIO,IoM-GRP,91831,3,3,30,0.03333333333333333,91901,mean10_minus_single1,0.3819444444444444,0.9305555555555556,0.5486111111111112
MOBIO,IoM-GRP,91831,3,3,30,0.03333333333333333,91907,mean10_minus_single1,0.3486111111111111,0.9625,0.6138888888888889
MOBIO,IoM-GRP,91831,3,3,30,0.03333333333333333,91909,mean10_minus_single1,0.4236111111111111,1.0,0.5763888888888888
MOBIO,IoM-GRP,91831,3,3,30,0.03333333333333333,91901,mean10_minus_prediction10,-0.015277777777777777,0.9305555555555556,0.9458333333333333
MOBIO,IoM-GRP,91831,3,3,30,0.03333333333333333,91907,mean10_minus_prediction10,0.013888888888888888,0.9625,0.9486111111111111
MOBIO,IoM-GRP,91831,3,3,30,0.03333333333333333,91909,mean10_minus_prediction10,0.03611111111111111,1.0,0.9638888888888889
MOBIO,IoM-GRP,91843,3,3,30,0.03333333333333333,91901,mean10_minus_single1,0.29305555555555557,0.9013888888888889,0.6083333333333333
MOBIO,IoM-GRP,91843,3,3,30,0.03333333333333333,91907,mean10_minus_single1,0.4097222222222222,0.8958333333333334,0.4861111111111111
MOBIO,IoM-GRP,91843,3,3,30,0.03333333333333333,91909,mean10_minus_single1,0.3125,0.9527777777777777,0.6402777777777777
MOBIO,IoM-GRP,91843,3,3,30,0.03333333333333333,91901,mean10_minus_prediction10,-0.043055555555555555,0.9013888888888889,0.9444444444444444
MOBIO,IoM-GRP,91843,3,3,30,0.03333333333333333,91907,mean10_minus_prediction10,0.034722222222222224,0.8958333333333334,0.8611111111111112
MOBIO,IoM-GRP,91843,3,3,30,0.03333333333333333,91909,mean10_minus_prediction10,-0.02361111111111111,0.9527777777777777,0.9763888888888889
MOBIO,PolyProtect,91831,3,3,30,0.03333333333333333,91901,mean10_minus_single1,-0.002777777777777778,0.04583333333333333,0.04861111111111111
MOBIO,PolyProtect,91831,3,3,30,0.03333333333333333,91907,mean10_minus_single1,0.2013888888888889,0.7638888888888888,0.5625
MOBIO,PolyProtect,91831,3,3,30,0.03333333333333333,91909,mean10_minus_single1,0.5888888888888889,0.6319444444444444,0.043055555555555555
MOBIO,PolyProtect,91831,3,3,30,0.03333333333333333,91901,mean10_minus_prediction10,-0.009722222222222222,0.04583333333333333,0.05555555555555555
MOBIO,PolyProtect,91831,3,3,30,0.03333333333333333,91907,mean10_minus_prediction10,-0.11944444444444445,0.7638888888888888,0.8833333333333333
MOBIO,PolyProtect,91831,3,3,30,0.03333333333333333,91909,mean10_minus_prediction10,0.5875,0.6319444444444444,0.044444444444444446
MOBIO,PolyProtect,91843,3,3,30,0.03333333333333333,91901,mean10_minus_single1,0.008333333333333333,0.06666666666666667,0.058333333333333334
MOBIO,PolyProtect,91843,3,3,30,0.03333333333333333,91907,mean10_minus_single1,0.23194444444444445,0.775,0.5430555555555555
MOBIO,PolyProtect,91843,3,3,30,0.03333333333333333,91909,mean10_minus_single1,0.4777777777777778,0.55,0.07222222222222222
MOBIO,PolyProtect,91843,3,3,30,0.03333333333333333,91901,mean10_minus_prediction10,-0.006944444444444444,0.06666666666666667,0.07361111111111111
MOBIO,PolyProtect,91843,3,3,30,0.03333333333333333,91907,mean10_minus_prediction10,-0.08611111111111111,0.775,0.8611111111111112
MOBIO,PolyProtect,91843,3,3,30,0.03333333333333333,91909,mean10_minus_prediction10,0.4597222222222222,0.55,0.09027777777777778
