dataset,scheme,condition,exposures,model,chance,top1_mean,top1_std,model_seeds
MOBIO,PolyProtect,independent_unseen_keys,1,single_mlp,0.03333333333333333,0.02638888888888889,0.00240562612162344,3
MOBIO,PolyProtect,independent_unseen_keys,10,mean_mlp,0.03333333333333333,0.036111111111111115,0.020553678592984365,3
MOBIO,PolyProtect,independent_unseen_keys,10,deepsets,0.03333333333333333,0.04583333333333334,0.029166666666666667,3
MOBIO,PolyProtect,random_key_pool_4,1,single_mlp,0.03333333333333333,0.04722222222222222,0.006364688465216447,3
MOBIO,PolyProtect,random_key_pool_4,10,mean_mlp,0.03333333333333333,0.036111111111111115,0.029265704869035385,3
MOBIO,PolyProtect,random_key_pool_4,10,deepsets,0.03333333333333333,0.04583333333333334,0.020833333333333332,3
MOBIO,IoM-GRP,independent_unseen_keys,1,single_mlp,0.03333333333333333,0.0375,0.015023130314433291,3
MOBIO,IoM-GRP,independent_unseen_keys,10,mean_mlp,0.03333333333333333,0.03333333333333333,0.0,3
MOBIO,IoM-GRP,independent_unseen_keys,10,deepsets,0.03333333333333333,0.041666666666666664,0.014433756729740645,3
MOBIO,IoM-GRP,random_key_pool_4,1,single_mlp,0.03333333333333333,0.5499999999999999,0.05051814855409224,3
MOBIO,IoM-GRP,random_key_pool_4,10,mean_mlp,0.03333333333333333,0.9111111111111111,0.012729376930432905,3
MOBIO,IoM-GRP,random_key_pool_4,10,deepsets,0.03333333333333333,0.6333333333333333,0.046955948623269315,3
SCface,PolyProtect,independent_unseen_keys,1,single_mlp,0.038461538461538464,0.03525641025641026,0.011102889792108188,3
SCface,PolyProtect,independent_unseen_keys,10,mean_mlp,0.038461538461538464,0.03685897435897436,0.002775722448027049,3
SCface,PolyProtect,independent_unseen_keys,10,deepsets,0.038461538461538464,0.038461538461538464,0.0,3
SCface,PolyProtect,random_key_pool_4,1,single_mlp,0.038461538461538464,0.05769230769230769,0.017334381132038407,3
SCface,PolyProtect,random_key_pool_4,10,mean_mlp,0.038461538461538464,0.038461538461538464,0.03466876226407682,3
SCface,PolyProtect,random_key_pool_4,10,deepsets,0.038461538461538464,0.03685897435897436,0.002775722448027049,3
SCface,IoM-GRP,independent_unseen_keys,1,single_mlp,0.038461538461538464,0.03685897435897436,0.011102889792108188,3
SCface,IoM-GRP,independent_unseen_keys,10,mean_mlp,0.038461538461538464,0.038461538461538464,0.0,3
SCface,IoM-GRP,independent_unseen_keys,10,deepsets,0.038461538461538464,0.038461538461538464,0.0,3
SCface,IoM-GRP,random_key_pool_4,1,single_mlp,0.038461538461538464,0.2644230769230769,0.012719958226272077,3
SCface,IoM-GRP,random_key_pool_4,10,mean_mlp,0.038461538461538464,0.6762820512820512,0.034779702586876134,3
SCface,IoM-GRP,random_key_pool_4,10,deepsets,0.038461538461538464,0.43589743589743585,0.09973306334936928,3
