stage,dataset,scheme,condition,exposures,model,seed,estimate,lower,upper,confidence,resamples,identity_clusters,margin,interval_within_margin,analysis
pilot,SCface,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.014423076923076924,-0.028846153846153848,0.07692307692307693,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.014423076923076924,-0.028846153846153848,0.07692307692307693,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.014423076923076924,-0.028846153846153848,0.07692307692307693,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,IoM-GRP,independent_unseen_keys,10,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,IoM-GRP,independent_unseen_keys,10,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,IoM-GRP,independent_unseen_keys,10,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,PolyProtect,independent_unseen_keys,1,single_mlp,91223,2.135044278125301e-18,-0.03365384615384615,0.03846153846153847,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,PolyProtect,independent_unseen_keys,1,single_mlp,91223,2.135044278125301e-18,-0.03365384615384615,0.03846153846153847,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,PolyProtect,independent_unseen_keys,1,single_mlp,91223,2.135044278125301e-18,-0.03365384615384615,0.03846153846153847,0.9,2000,26,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,PolyProtect,independent_unseen_keys,10,mean_mlp,91223,-0.004807692307692308,-0.03365384615384615,0.03846153846153846,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,PolyProtect,independent_unseen_keys,10,mean_mlp,91223,-0.004807692307692308,-0.03365384615384615,0.03846153846153846,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,PolyProtect,independent_unseen_keys,10,mean_mlp,91223,-0.004807692307692308,-0.03365384615384615,0.03846153846153846,0.9,2000,26,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,PolyProtect,independent_unseen_keys,10,deepsets,91223,0.00480769230769231,-0.038461538461538464,0.06249999999999999,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,PolyProtect,independent_unseen_keys,10,deepsets,91223,0.00480769230769231,-0.038461538461538464,0.06249999999999999,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
pilot,SCface,PolyProtect,independent_unseen_keys,10,deepsets,91223,0.00480769230769231,-0.038461538461538464,0.06249999999999999,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
