stage,dataset,scheme,condition,exposures,model,seed,contrast,estimate,lower,upper,confidence,resamples,identity_clusters
pilot,SCface,IoM-GRP,random_key_pool_1,1,single_mlp,91223,reuse_minus_fresh,0.5576923076923077,0.39903846153846156,0.6826923076923077,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_1,10,mean_mlp,91223,ten_minus_one,0.2932692307692308,0.21153846153846154,0.38461538461538464,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_1,10,mean_mlp,91223,reuse_minus_fresh,0.8653846153846154,0.7355769230769231,0.9807692307692307,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_1,10,deepsets,91223,ten_minus_one,0.17307692307692307,0.0623798076923079,0.28365384615384615,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_1,10,deepsets,91223,reuse_minus_fresh,0.7451923076923077,0.5817307692307693,0.8846153846153846,0.95,2000,26
pilot,SCface,PolyProtect,random_key_pool_1,1,single_mlp,91223,reuse_minus_fresh,0.6394230769230769,0.5048076923076923,0.7548076923076923,0.95,2000,26
pilot,SCface,PolyProtect,random_key_pool_1,10,mean_mlp,91223,ten_minus_one,0.14423076923076922,0.009615384615384616,0.27884615384615385,0.95,2000,26
pilot,SCface,PolyProtect,random_key_pool_1,10,mean_mlp,91223,reuse_minus_fresh,0.7884615384615384,0.6298076923076923,0.9182692307692307,0.95,2000,26
pilot,SCface,PolyProtect,random_key_pool_1,10,deepsets,91223,ten_minus_one,0.11057692307692307,-0.019230769230769232,0.2356971153846147,0.95,2000,26
pilot,SCface,PolyProtect,random_key_pool_1,10,deepsets,91223,reuse_minus_fresh,0.7451923076923077,0.5721153846153846,0.8846153846153846,0.95,2000,26
pilot,SCface,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,ten_minus_one,-0.014423076923076924,-0.11057692307692307,0.07211538461538461,0.95,2000,26
pilot,SCface,IoM-GRP,independent_unseen_keys,10,deepsets,91223,ten_minus_one,-0.014423076923076924,-0.11057692307692307,0.07211538461538461,0.95,2000,26
pilot,SCface,PolyProtect,independent_unseen_keys,10,mean_mlp,91223,ten_minus_one,-0.004807692307692308,-0.03365384615384615,0.019230769230769232,0.95,2000,26
pilot,SCface,PolyProtect,independent_unseen_keys,10,deepsets,91223,ten_minus_one,0.004807692307692308,-0.038461538461538464,0.052884615384615384,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_4,1,single_mlp,91223,reuse_minus_fresh,0.23076923076923078,0.11057692307692307,0.34134615384615385,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_4,10,mean_mlp,91223,ten_minus_one,0.34615384615384615,0.20673076923076922,0.4807692307692308,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_4,10,mean_mlp,91223,reuse_minus_fresh,0.5913461538461539,0.41346153846153844,0.7548076923076923,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_4,10,deepsets,91223,ten_minus_one,0.23076923076923078,0.08653846153846154,0.38461538461538464,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_4,10,deepsets,91223,reuse_minus_fresh,0.47596153846153844,0.3123798076923079,0.6490384615384616,0.95,2000,26
pilot,SCface,PolyProtect,random_key_pool_4,1,single_mlp,91223,reuse_minus_fresh,0.2403846153846154,0.15384615384615385,0.3317307692307692,0.95,2000,26
pilot,SCface,PolyProtect,random_key_pool_4,10,mean_mlp,91223,ten_minus_one,0.4182692307692308,0.2980769230769231,0.5384615384615384,0.95,2000,26
pilot,SCface,PolyProtect,random_key_pool_4,10,mean_mlp,91223,reuse_minus_fresh,0.6634615384615384,0.5288461538461539,0.7932692307692307,0.95,2000,26
pilot,SCface,PolyProtect,random_key_pool_4,10,deepsets,91223,ten_minus_one,0.3317307692307692,0.19230769230769232,0.47115384615384615,0.95,2000,26
pilot,SCface,PolyProtect,random_key_pool_4,10,deepsets,91223,reuse_minus_fresh,0.5673076923076923,0.3942307692307692,0.7355769230769231,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_8,1,single_mlp,91223,reuse_minus_fresh,0.08653846153846154,-0.009615384615384616,0.17800480769230703,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_8,10,mean_mlp,91223,ten_minus_one,0.20192307692307693,0.08173076923076923,0.3269230769230769,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_8,10,mean_mlp,91223,reuse_minus_fresh,0.30288461538461536,0.17307692307692307,0.4328124999999994,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_8,10,deepsets,91223,ten_minus_one,0.1778846153846154,0.04326923076923077,0.3173076923076923,0.95,2000,26
pilot,SCface,IoM-GRP,random_key_pool_8,10,deepsets,91223,reuse_minus_fresh,0.27884615384615385,0.14903846153846154,0.4182692307692308,0.95,2000,26
pilot,SCface,PolyProtect,random_key_pool_8,1,single_mlp,91223,reuse_minus_fresh,0.014423076923076924,-0.009615384615384616,0.03858173076923012,0.95,2000,26
pilot,SCface,PolyProtect,random_key_pool_8,10,mean_mlp,91223,ten_minus_one,0.04326923076923077,-0.014423076923076924,0.10096153846153846,0.95,2000,26
