dataset,split_seed,master_seed,policy,threshold,validation_fmr,tar,fmr,genuine_pairs,impostor_pairs
MOBIO,93083,92927,recurring,0.6562500000000001,0.0059561128526645765,0.9484848484848486,0.006583072100313479,330,9570
MOBIO,93083,92927,separated,0.6562500000000001,0.008254963427377221,0.9181818181818183,0.006896551724137929,330,9570
MOBIO,93083,92941,recurring,0.6562500000000001,0.005642633228840125,0.9242424242424241,0.007836990595611285,330,9570
MOBIO,93083,92941,separated,0.6406250000000001,0.00961337513061651,0.9454545454545454,0.01264367816091954,330,9570
MOBIO,93083,92951,recurring,0.6562500000000001,0.005538140020898642,0.9393939393939394,0.006269592476489029,330,9570
MOBIO,93083,92951,separated,0.6562500000000001,0.006896551724137931,0.8939393939393939,0.006896551724137929,330,9570
MOBIO,93083,92957,recurring,0.6562500000000001,0.005642633228840125,0.9636363636363636,0.008150470219435735,330,9570
MOBIO,93083,92957,separated,0.6562500000000001,0.007732497387669801,0.9,0.00689655172413793,330,9570
MOBIO,93083,92959,recurring,0.6562500000000001,0.005747126436781609,0.9424242424242425,0.006583072100313479,330,9570
MOBIO,93083,92959,separated,0.6562500000000001,0.0065830721003134795,0.9393939393939396,0.0066875653082549644,330,9570
MOBIO,93083,92987,recurring,0.6562500000000001,0.008672936259143156,0.9454545454545455,0.007105538140020897,330,9570
MOBIO,93083,92987,separated,0.6562500000000001,0.006374085684430512,0.9454545454545454,0.007419017763845349,330,9570
MOBIO,93083,92993,recurring,0.6562500000000001,0.006269592476489028,0.9454545454545455,0.004493207941483803,330,9570
MOBIO,93083,92993,separated,0.6562500000000001,0.005642633228840125,0.9424242424242425,0.005956112852664577,330,9570
MOBIO,93083,93001,recurring,0.6562500000000001,0.007523510971786834,0.9090909090909091,0.00606060606060606,330,9570
MOBIO,93083,93001,separated,0.6562500000000001,0.0038662486938349006,0.9181818181818183,0.0064785788923719945,330,9570
MOBIO,93083,93047,recurring,0.6406250000000001,0.009404388714733543,0.9424242424242425,0.015778474399164053,330,9570
MOBIO,93083,93047,separated,0.6562500000000001,0.0073145245559038665,0.9242424242424244,0.006478578892371995,330,9570
MOBIO,93083,93053,recurring,0.6562500000000001,0.006792058516196447,0.9303030303030303,0.00689655172413793,330,9570
MOBIO,93083,93053,separated,0.6562500000000001,0.00522466039707419,0.906060606060606,0.0072100313479623816,330,9570
MOBIO,93083,93059,recurring,0.6562500000000001,0.009299895506792059,0.896969696969697,0.005956112852664576,330,9570
MOBIO,93083,93059,separated,0.6562500000000001,0.006687565308254964,0.9454545454545455,0.0041797283176593526,330,9570
MOBIO,93083,93077,recurring,0.6562500000000001,0.00522466039707419,0.9333333333333335,0.006165099268547543,330,9570
MOBIO,93083,93077,separated,0.6562500000000001,0.0073145245559038665,0.9454545454545454,0.0064785788923719945,330,9570
MOBIO,93089,92927,recurring,0.6562500000000001,0.0069175138874331835,0.9333333333333332,0.00825496342737722,330,9570
MOBIO,93089,92927,separated,0.6562500000000001,0.00597421653914684,0.9515151515151515,0.005538140020898639,330,9570
MOBIO,93089,92941,recurring,0.6562500000000001,0.006288648988575621,0.9333333333333335,0.00470219435736677,330,9570
MOBIO,93089,92941,separated,0.6562500000000001,0.007022324703909444,0.9393939393939394,0.005538140020898641,330,9570
MOBIO,93089,92951,recurring,0.6406250000000001,0.00911854103343465,0.9909090909090909,0.013793103448275862,330,9570
MOBIO,93089,92951,separated,0.6562500000000001,0.005030919190860497,0.9545454545454546,0.006060606060606061,330,9570
MOBIO,93089,92957,recurring,0.6562500000000001,0.007441567969814484,0.9393939393939394,0.009508881922675025,330,9570
MOBIO,93089,92957,separated,0.6562500000000001,0.007441567969814484,0.9151515151515153,0.004597701149425287,330,9570
MOBIO,93089,92959,recurring,0.6562500000000001,0.007651189602767006,0.9454545454545454,0.007836990595611283,330,9570
MOBIO,93089,92959,separated,0.6562500000000001,0.0060790273556231,0.9303030303030303,0.004911180773249739,330,9570
MOBIO,93089,92987,recurring,0.6562500000000001,0.006603081438004402,0.9515151515151514,0.005224660397074189,330,9570
MOBIO,93089,92987,separated,0.6562500000000001,0.0061838381720993605,0.9636363636363636,0.0052246603970741885,330,9570
MOBIO,93089,92993,recurring,0.6562500000000001,0.005659784089718059,0.9575757575757576,0.007941483803552769,330,9570
MOBIO,93089,92993,separated,0.6562500000000001,0.006707892254480662,0.9333333333333335,0.0064785788923719945,330,9570
MOBIO,93089,93001,recurring,0.6562500000000001,0.005450162456765538,0.9666666666666667,0.005851619644723092,330,9570
MOBIO,93089,93001,separated,0.6562500000000001,0.005764594906194319,0.9484848484848486,0.005747126436781607,330,9570
MOBIO,93089,93047,recurring,0.6406250000000001,0.00880410858400587,0.9515151515151515,0.011389759665621734,330,9570
MOBIO,93089,93047,separated,0.6562500000000001,0.0068127030709569224,0.9363636363636364,0.006269592476489028,330,9570
MOBIO,93089,93053,recurring,0.6562500000000001,0.0060790273556231,0.9454545454545454,0.0071055381400209,330,9570
MOBIO,93089,93053,separated,0.6562500000000001,0.007336757153338224,0.9393939393939394,0.007732497387669802,330,9570
MOBIO,93089,93059,recurring,0.6562500000000001,0.006603081438004402,0.9363636363636363,0.0065830721003134795,330,9570
MOBIO,93089,93059,separated,0.6562500000000001,0.007231946336861964,0.9393939393939394,0.006478578892371995,330,9570
MOBIO,93089,93077,recurring,0.6562500000000001,0.005345351640289278,0.9454545454545455,0.006687565308254962,330,9570
MOBIO,93089,93077,separated,0.6562500000000001,0.00586940572267058,0.9575757575757575,0.004806687565308253,330,9570
SCface,93083,92927,recurring,0.6562500000000001,0.006091743119266055,0.2413003663003663,0.004417582417582417,543,13575
SCface,93083,92927,separated,0.6562500000000001,0.005577981651376147,0.28791208791208794,0.005058608058608059,543,13575
SCface,93083,92941,recurring,0.6406250000000001,0.00910091743119266,0.3606227106227106,0.010065934065934066,543,13575
SCface,93083,92941,separated,0.6562500000000001,0.005504587155963303,0.2673992673992674,0.005813186813186814,543,13575
SCface,93083,92951,recurring,0.6562500000000001,0.004990825688073394,0.28919413919413917,0.006838827838827838,543,13575
SCface,93083,92951,separated,0.6562500000000001,0.007412844036697248,0.28617216117216115,0.005820512820512821,543,13575
SCface,93083,92957,recurring,0.6562500000000001,0.006458715596330275,0.28168498168498163,0.006106227106227107,543,13575
SCface,93083,92957,separated,0.6562500000000001,0.007486238532110091,0.2764652014652014,0.006336996336996337,543,13575
SCface,93083,92959,recurring,0.6562500000000001,0.006165137614678899,0.2757326007326007,0.005721611721611722,543,13575
SCface,93083,92959,separated,0.6562500000000001,0.006752293577981652,0.2781135531135531,0.005289377289377289,543,13575
SCface,93083,92987,recurring,0.6406250000000001,0.009027522935779816,0.34990842490842494,0.013904761904761904,543,13575
SCface,93083,92987,separated,0.6562500000000001,0.00726605504587156,0.2982600732600733,0.004128205128205128,543,13575
SCface,93083,92993,recurring,0.6562500000000001,0.006238532110091743,0.2772893772893773,0.0037472527472527475,543,13575
SCface,93083,92993,separated,0.6562500000000001,0.006018348623853211,0.296062271062271,0.004868131868131869,543,13575
