stage,dataset,scheme,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,input_dimension,zero_rows,constant_columns,native_top1,native_auroc
pilot,MOBIO,IoM-GRP,random_key_pool_1,30,0.03333333333333333,91217,91219,cb267db4a522a2d0a88cc0bb4f0b9a1ed4fe8fddd4a61ed0eb455f0b38f8a683,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,4800,0,0,1.0,0.9999999999999999
pilot,FEI,IoM-GRP,random_key_pool_1,40,0.025,91217,91219,ed84ef95f85ab72e4fcea7e654883b28de597e0d350e02cefbd1a0328d0ad89d,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,4800,0,0,1.0,1.0
pilot,MOBIO,PolyProtect,random_key_pool_1,30,0.03333333333333333,91217,91219,2d4cffee02ce873ceba802ade6deb03c2e065920a06c9bd90e814f9c5f00e5a4,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,170,0,0,1.0,1.0
pilot,FEI,PolyProtect,random_key_pool_1,40,0.025,91217,91219,5cf662f99b6636508ecefc0142647606b6215e1a7d90ec2aad28b6b14e09c1e4,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,170,0,0,1.0,1.0
pilot,MOBIO,IoM-GRP,independent_unseen_keys,30,0.03333333333333333,91217,91219,430b90d88c5b3787e699b88d279b3977ede407bc6b483b47da11eea63d1290b0,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,4800,0,0,0.02727272727272727,0.5046676799341376
pilot,FEI,IoM-GRP,independent_unseen_keys,40,0.025,91217,91219,ae3f34745ddc413ed7c340a7c8f900f50cc96825ac3755f06cdb935b22a77522,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,4800,0,0,0.029748283752860413,0.4959782034699953
pilot,MOBIO,PolyProtect,independent_unseen_keys,30,0.03333333333333333,91217,91219,e14ab8fd8c002775f446c77b319058c1d5e28c8260e015b98d315b34629c3842,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,170,0,0,0.12727272727272726,0.4971239036129318
pilot,FEI,PolyProtect,independent_unseen_keys,40,0.025,91217,91219,b443d1bdbbba64792804f7c363ff7b01fb74809dff4095d421005c243c187f0e,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,170,0,0,0.13729977116704806,0.5236693671989453
pilot,MOBIO,IoM-GRP,random_key_pool_4,30,0.03333333333333333,91217,91219,5c40a617f724793a0d635583b9d5bd5a74524702506f356f4f86fbf0a40354c2,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,4800,0,0,0.2909090909090909,0.6018085241125993
pilot,FEI,IoM-GRP,random_key_pool_4,40,0.025,91217,91219,2d16a2d9e30bfb583895d2d4eadad80e4dfb94bf72668a1888c66583e5084213,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,4800,0,0,0.2837528604118993,0.6157343835239201
pilot,MOBIO,PolyProtect,random_key_pool_4,30,0.03333333333333333,91217,91219,d16ab2ea58c4ca880197b796bfbea0cc6aafb1a059a9ca6356be3454c5b18662,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,170,0,0,0.3303030303030303,0.5638697318007663
pilot,FEI,PolyProtect,random_key_pool_4,40,0.025,91217,91219,01225770ca98faf8b88de3cbb203bc20a9398e8233bfd17368c125d5fe0602e7,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,170,0,0,0.2700228832951945,0.52426054920177
pilot,MOBIO,IoM-GRP,random_key_pool_8,30,0.03333333333333333,91217,91219,5da63e995e81497cfa96be8f6e24e17fb2ec1eba38bd15cd8b8fc329d5c2aae0,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,4800,0,0,0.16363636363636364,0.5507908235964663
pilot,FEI,IoM-GRP,random_key_pool_8,40,0.025,91217,91219,07c4ff6d4cee101ec2bb1e96b4e9e8c868b983b622f16c4af31cd74c56358d25,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,4800,0,0,0.14645308924485126,0.527518629349293
pilot,MOBIO,PolyProtect,random_key_pool_8,30,0.03333333333333333,91217,91219,161f5df041315381d1f1f367e2b0779bccf1f99528ca22537b94267857972a10,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,170,0,0,0.22727272727272727,0.5292033184509675
pilot,FEI,PolyProtect,random_key_pool_8,40,0.025,91217,91219,ad773376063ca10d978d4c3fe59f30d4a0c65a46c1689c5c77993d9c90235e1d,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,170,0,0,0.16704805491990846,0.4828337691001265
