stage,dataset,scheme,condition,exposures,model,seed,contrast,estimate,lower,upper,confidence,resamples,identity_clusters
pilot,MOBIO,IoM-GRP,random_key_pool_1,1,single_mlp,91223,reuse_minus_fresh,0.9708333333333333,0.9416666666666667,0.9958333333333333,0.95,2000,30
pilot,MOBIO,IoM-GRP,random_key_pool_1,10,mean_mlp,91223,ten_minus_one,0.0,0.0,0.0,0.95,2000,30
pilot,MOBIO,IoM-GRP,random_key_pool_1,10,mean_mlp,91223,reuse_minus_fresh,0.9333333333333333,0.8333333333333334,1.0,0.95,2000,30
pilot,MOBIO,IoM-GRP,random_key_pool_1,10,deepsets,91223,ten_minus_one,-0.09583333333333334,-0.19583333333333333,0.0,0.95,2000,30
pilot,MOBIO,IoM-GRP,random_key_pool_1,10,deepsets,91223,reuse_minus_fresh,0.8708333333333333,0.7416666666666667,0.9708333333333333,0.95,2000,30
pilot,FEI,IoM-GRP,random_key_pool_1,1,single_mlp,91223,reuse_minus_fresh,0.978125,0.95625,0.996875,0.95,2000,40
pilot,FEI,IoM-GRP,random_key_pool_1,10,mean_mlp,91223,ten_minus_one,0.003125,0.0,0.009375,0.95,2000,40
pilot,FEI,IoM-GRP,random_key_pool_1,10,mean_mlp,91223,reuse_minus_fresh,0.978125,0.934375,1.0,0.95,2000,40
pilot,FEI,IoM-GRP,random_key_pool_1,10,deepsets,91223,ten_minus_one,-0.046875,-0.11875,0.0,0.95,2000,40
pilot,FEI,IoM-GRP,random_key_pool_1,10,deepsets,91223,reuse_minus_fresh,0.925,0.8493750000000011,1.0,0.95,2000,40
pilot,MOBIO,PolyProtect,random_key_pool_1,1,single_mlp,91223,reuse_minus_fresh,0.9125,0.8583333333333333,0.9625,0.95,2000,30
pilot,MOBIO,PolyProtect,random_key_pool_1,10,mean_mlp,91223,ten_minus_one,-0.0625,-0.19166666666666668,0.041666666666666664,0.95,2000,30
pilot,MOBIO,PolyProtect,random_key_pool_1,10,mean_mlp,91223,reuse_minus_fresh,0.8541666666666666,0.7208333333333333,0.9666666666666667,0.95,2000,30
pilot,MOBIO,PolyProtect,random_key_pool_1,10,deepsets,91223,ten_minus_one,-0.1375,-0.2833333333333333,-0.020833333333333332,0.95,2000,30
pilot,MOBIO,PolyProtect,random_key_pool_1,10,deepsets,91223,reuse_minus_fresh,0.7791666666666667,0.625,0.9125,0.95,2000,30
pilot,FEI,PolyProtect,random_key_pool_1,1,single_mlp,91223,reuse_minus_fresh,0.946875,0.88125,0.996875,0.95,2000,40
pilot,FEI,PolyProtect,random_key_pool_1,10,mean_mlp,91223,ten_minus_one,-0.1375,-0.2594531249999999,-0.025,0.95,2000,40
pilot,FEI,PolyProtect,random_key_pool_1,10,mean_mlp,91223,reuse_minus_fresh,0.80625,0.68125,0.9157031249999996,0.95,2000,40
pilot,FEI,PolyProtect,random_key_pool_1,10,deepsets,91223,ten_minus_one,-0.125,-0.21875,-0.0375,0.95,2000,40
pilot,FEI,PolyProtect,random_key_pool_1,10,deepsets,91223,reuse_minus_fresh,0.815625,0.696875,0.928125,0.95,2000,40
pilot,MOBIO,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,ten_minus_one,0.0375,-0.020833333333333332,0.12083333333333333,0.95,2000,30
pilot,MOBIO,IoM-GRP,independent_unseen_keys,10,deepsets,91223,ten_minus_one,0.004166666666666667,-0.041666666666666664,0.06666666666666667,0.95,2000,30
pilot,FEI,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,ten_minus_one,0.003125,-0.025,0.040625,0.95,2000,40
pilot,FEI,IoM-GRP,independent_unseen_keys,10,deepsets,91223,ten_minus_one,0.00625,-0.025,0.05,0.95,2000,40
pilot,MOBIO,PolyProtect,independent_unseen_keys,10,mean_mlp,91223,ten_minus_one,-0.004166666666666667,-0.04583333333333333,0.05,0.95,2000,30
pilot,MOBIO,PolyProtect,independent_unseen_keys,10,deepsets,91223,ten_minus_one,-0.004166666666666667,-0.05416666666666667,0.0625,0.95,2000,30
pilot,FEI,PolyProtect,independent_unseen_keys,10,mean_mlp,91223,ten_minus_one,0.003125,-0.034375,0.040625,0.95,2000,40
pilot,FEI,PolyProtect,independent_unseen_keys,10,deepsets,91223,ten_minus_one,0.00625,-0.009375,0.028125,0.95,2000,40
pilot,MOBIO,IoM-GRP,random_key_pool_4,1,single_mlp,91223,reuse_minus_fresh,0.49583333333333335,0.4,0.5916666666666667,0.95,2000,30
pilot,MOBIO,IoM-GRP,random_key_pool_4,10,mean_mlp,91223,ten_minus_one,0.37916666666666665,0.2833333333333333,0.48333333333333334,0.95,2000,30
pilot,MOBIO,IoM-GRP,random_key_pool_4,10,mean_mlp,91223,reuse_minus_fresh,0.8375,0.7041666666666667,0.95,0.95,2000,30
pilot,MOBIO,IoM-GRP,random_key_pool_4,10,deepsets,91223,ten_minus_one,0.2791666666666667,0.14572916666666685,0.42083333333333334,0.95,2000,30
pilot,MOBIO,IoM-GRP,random_key_pool_4,10,deepsets,91223,reuse_minus_fresh,0.7708333333333334,0.6123958333333336,0.9166666666666666,0.95,2000,30
pilot,FEI,IoM-GRP,random_key_pool_4,1,single_mlp,91223,reuse_minus_fresh,0.59375,0.50625,0.675,0.95,2000,40
