dataset,split_seed,key_seed,scheme,chance,identity_balanced_top1,probe_weighted_top1,lower95,upper95,permutation_p,null_mean,identity_clusters,permutations,holm_p
MOBIO,91831,91873,PolyProtect,0.03333333333333333,0.14545454545454545,0.14545454545454545,0.10606060606060605,0.18787878787878784,0.0005,0.03344702654357482,30,1999,0.006
MOBIO,91831,91879,PolyProtect,0.03333333333333333,0.10909090909090909,0.10909090909090909,0.0818181818181818,0.13939393939393938,0.0005,0.03334394469962254,30,1999,0.006
MOBIO,91831,91883,PolyProtect,0.03333333333333333,0.11818181818181817,0.11818181818181818,0.08484848484848483,0.1515151515151515,0.0005,0.03360771294738279,30,1999,0.006
FEI,91831,91873,PolyProtect,0.025,0.11204545454545456,0.11264367816091954,0.08204545454545456,0.1443238636363636,0.0005,0.0246922324798763,40,1999,0.006
FEI,91831,91879,PolyProtect,0.025,0.11522727272727273,0.11494252873563218,0.0927215909090909,0.14068181818181819,0.0005,0.02510948656146255,40,1999,0.006
FEI,91831,91883,PolyProtect,0.025,0.10636363636363635,0.10574712643678161,0.07886363636363637,0.1334090909090909,0.0005,0.024899267815726045,40,1999,0.006
MOBIO,91843,91873,PolyProtect,0.03333333333333333,0.12787878787878787,0.1276595744680851,0.08484848484848485,0.16969696969696965,0.0005,0.03344930040777965,30,1999,0.006
MOBIO,91843,91879,PolyProtect,0.03333333333333333,0.12181818181818181,0.12158054711246201,0.08848484848484847,0.15515151515151512,0.0005,0.03348446950748101,30,1999,0.006
MOBIO,91843,91883,PolyProtect,0.03333333333333333,0.11636363636363635,0.11550151975683891,0.08484848484848483,0.15090909090909088,0.0005,0.03281004138432853,30,1999,0.006
FEI,91843,91873,PolyProtect,0.025,0.11522727272727273,0.11494252873563218,0.08318181818181818,0.14727272727272728,0.0005,0.02478205011596708,40,1999,0.006
FEI,91843,91879,PolyProtect,0.025,0.10113636363636362,0.10114942528735632,0.07045454545454546,0.13864204545454542,0.0005,0.02511846832507163,40,1999,0.006
FEI,91843,91883,PolyProtect,0.025,0.11636363636363636,0.11724137931034483,0.08249431818181818,0.155,0.0005,0.024847082632225206,40,1999,0.006
