stage,dataset,scheme,split_seed,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,input_dimension,zero_rows,constant_columns,native_top1,native_auroc
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,91861,91867,bdde6acde41f66c90eccb0a23afad883157f4dad571c9c2d2075b0b9466dacbf,a5ec9c6c48cf220adc8ab277a86054b521a7f1a1,4800,0,0,0.04242424242424243,0.5150794781672524
bounded_validation,FEI,IoM-GRP,91831,independent_unseen_keys,40,0.025,91861,91867,ed06ce20839ff165cebd7c8ffd6cde6e22b4153d88c7705db9a9fbc0698d7b31,a5ec9c6c48cf220adc8ab277a86054b521a7f1a1,4800,0,0,0.034482758620689655,0.4808730618480916
bounded_validation,MOBIO,IoM-GRP,91843,independent_unseen_keys,30,0.03333333333333333,91861,91867,cbe5a77d0d4ec0d56f6eaeda5e92d539c7390ab4da46af5b1ffc8407b5bd6387,a5ec9c6c48cf220adc8ab277a86054b521a7f1a1,4800,0,0,0.0486322188449848,0.5190540648597367
bounded_validation,FEI,IoM-GRP,91843,independent_unseen_keys,40,0.025,91861,91867,a2753c629ee0452bb690ba41c050c03d5a1a5125293dd1ab212d5f9c5800acf7,a5ec9c6c48cf220adc8ab277a86054b521a7f1a1,4800,0,0,0.02528735632183908,0.517561307763448
bounded_validation,MOBIO,PolyProtect,91831,independent_unseen_keys,30,0.03333333333333333,91861,91867,5594d6e992aaa48e0c92c96725bf271c0433c0b97b877df32c1514bda7e6132d,a5ec9c6c48cf220adc8ab277a86054b521a7f1a1,170,0,0,0.09696969696969697,0.4663189892656977
bounded_validation,FEI,PolyProtect,91831,independent_unseen_keys,40,0.025,91861,91867,655bd20240ddc380ca8d5ca40be0d4e0a9262b156a6c638ac9c0749354a89860,a5ec9c6c48cf220adc8ab277a86054b521a7f1a1,170,0,0,0.11494252873563218,0.49739429725160994
bounded_validation,MOBIO,PolyProtect,91843,independent_unseen_keys,30,0.03333333333333333,91861,91867,581865d28475abec9cf79b2d90483b9849ebbd24e1e9e4d8f032ed7a5a8cbbff,a5ec9c6c48cf220adc8ab277a86054b521a7f1a1,170,0,0,0.11550151975683891,0.4957905236367506
bounded_validation,FEI,PolyProtect,91843,independent_unseen_keys,40,0.025,91861,91867,6ba943d11d2325dfc797d766cac6e22d83821c55f47964f9ab4f9fef8e489a64,a5ec9c6c48cf220adc8ab277a86054b521a7f1a1,170,0,0,0.135632183908046,0.5152707230233984
bounded_validation,MOBIO,IoM-GRP,91831,random_key_pool_1,30,0.03333333333333333,91861,91867,fdfe359d24114a3c0bb1d75c8315b7f02038a72d48aa964c9556327c906fbba8,a5ec9c6c48cf220adc8ab277a86054b521a7f1a1,4800,0,0,1.0,1.0
bounded_validation,FEI,IoM-GRP,91831,random_key_pool_1,40,0.025,91861,91867,32d14799c463b8a4613ffb9fac877dac1059973a51d25bf9ab450d0bed91f8fe,a5ec9c6c48cf220adc8ab277a86054b521a7f1a1,4800,0,0,1.0,1.0
