stage,dataset,split_seed,scheme,condition,exposures,model,seed,contrast,estimate,lower,upper,confidence,resamples,identity_clusters,bootstrap_seed
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,0.0125,-0.0125,0.05,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,0.041666666666666664,0.0,0.125,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,-0.029166666666666667,-0.07083333333333333,0.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,601,ten_minus_one,0.0125,-0.0125,0.05,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,607,ten_minus_one,0.0125,0.0,0.0375,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,613,ten_minus_one,-0.004166666666666667,-0.058333333333333334,0.05416666666666667,0.95,2000,30,91223
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,0.01875,-0.01875,0.075,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,0.009375,-0.0125,0.046875,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,0.00625,-0.01875,0.046875,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,deepsets,601,ten_minus_one,0.01875,-0.01875,0.075,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,deepsets,607,ten_minus_one,0.009375,-0.0125,0.046875,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,deepsets,613,ten_minus_one,0.00625,-0.01875,0.046875,0.95,2000,40,91223
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,0.004166666666666667,-0.0625,0.1,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,0.008333333333333333,-0.04583333333333333,0.08333333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,-0.004166666666666667,-0.04583333333333333,0.05,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,601,ten_minus_one,0.004166666666666667,-0.0625,0.1,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,607,ten_minus_one,0.008333333333333333,-0.04583333333333333,0.09583333333333334,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,613,ten_minus_one,-0.004166666666666667,-0.05416666666666667,0.06666666666666667,0.95,2000,30,91223
bounded_validation,FEI,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,-0.015625,-0.065625,0.01875,0.95,2000,40,91223
bounded_validation,FEI,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,-0.00625,-0.040625,0.025,0.95,2000,40,91223
bounded_validation,FEI,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,0.00625,0.0,0.01875,0.95,2000,40,91223
bounded_validation,FEI,91843,IoM-GRP,independent_unseen_keys,10,deepsets,601,ten_minus_one,-0.015625,-0.065625,0.01875,0.95,2000,40,91223
bounded_validation,FEI,91843,IoM-GRP,independent_unseen_keys,10,deepsets,607,ten_minus_one,-0.00625,-0.040625,0.025,0.95,2000,40,91223
bounded_validation,FEI,91843,IoM-GRP,independent_unseen_keys,10,deepsets,613,ten_minus_one,0.00625,0.0,0.01875,0.95,2000,40,91223
bounded_validation,MOBIO,91831,PolyProtect,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,-0.016666666666666666,-0.05,0.004166666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,91831,PolyProtect,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,0.004166666666666667,-0.025,0.0375,0.95,2000,30,91223
bounded_validation,MOBIO,91831,PolyProtect,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,-0.020833333333333332,-0.058437499999999816,0.008333333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91831,PolyProtect,independent_unseen_keys,10,deepsets,601,ten_minus_one,-0.0125,-0.09166666666666666,0.058333333333333334,0.95,2000,30,91223
bounded_validation,MOBIO,91831,PolyProtect,independent_unseen_keys,10,deepsets,607,ten_minus_one,-0.004166666666666667,-0.0625,0.05,0.95,2000,30,91223
bounded_validation,MOBIO,91831,PolyProtect,independent_unseen_keys,10,deepsets,613,ten_minus_one,-0.008333333333333333,-0.05,0.025,0.95,2000,30,91223
bounded_validation,FEI,91831,PolyProtect,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,-0.021875,-0.05,0.0,0.95,2000,40,91223
bounded_validation,FEI,91831,PolyProtect,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,-0.00625,-0.034375,0.021875,0.95,2000,40,91223
bounded_validation,FEI,91831,PolyProtect,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,-0.028125,-0.090625,0.01875,0.95,2000,40,91223
bounded_validation,FEI,91831,PolyProtect,independent_unseen_keys,10,deepsets,601,ten_minus_one,0.003125,-0.028203124999999864,0.046875,0.95,2000,40,91223
bounded_validation,FEI,91831,PolyProtect,independent_unseen_keys,10,deepsets,607,ten_minus_one,0.0,-0.034375,0.040625,0.95,2000,40,91223
bounded_validation,FEI,91831,PolyProtect,independent_unseen_keys,10,deepsets,613,ten_minus_one,-0.0125,-0.046875,0.009375,0.95,2000,40,91223
bounded_validation,MOBIO,91843,PolyProtect,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,0.008333333333333333,0.0,0.025,0.95,2000,30,91223
bounded_validation,MOBIO,91843,PolyProtect,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,-0.0125,-0.03333333333333333,0.0,0.95,2000,30,91223
bounded_validation,MOBIO,91843,PolyProtect,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,0.0125,-0.0125,0.05,0.95,2000,30,91223
bounded_validation,MOBIO,91843,PolyProtect,independent_unseen_keys,10,deepsets,601,ten_minus_one,-0.0125,-0.0375,0.0,0.95,2000,30,91223
bounded_validation,MOBIO,91843,PolyProtect,independent_unseen_keys,10,deepsets,607,ten_minus_one,-0.004166666666666667,-0.0125,0.0,0.95,2000,30,91223
bounded_validation,MOBIO,91843,PolyProtect,independent_unseen_keys,10,deepsets,613,ten_minus_one,0.0125,-0.0125,0.05,0.95,2000,30,91223
bounded_validation,FEI,91843,PolyProtect,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,-0.003125,-0.009375,0.0,0.95,2000,40,91223
bounded_validation,FEI,91843,PolyProtect,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,0.0,0.0,0.0,0.95,2000,40,91223
bounded_validation,FEI,91843,PolyProtect,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,-0.00625,-0.040625,0.025,0.95,2000,40,91223
bounded_validation,FEI,91843,PolyProtect,independent_unseen_keys,10,deepsets,601,ten_minus_one,0.003125,0.0,0.009375,0.95,2000,40,91223
bounded_validation,FEI,91843,PolyProtect,independent_unseen_keys,10,deepsets,607,ten_minus_one,0.0,0.0,0.0,0.95,2000,40,91223
bounded_validation,FEI,91843,PolyProtect,independent_unseen_keys,10,deepsets,613,ten_minus_one,-0.00625,-0.040625,0.025,0.95,2000,40,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,1,single_mlp,601,reuse_minus_fresh,0.9708333333333333,0.9333333333333333,0.9958333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,1,single_mlp,607,reuse_minus_fresh,0.9791666666666666,0.9375,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,1,single_mlp,613,reuse_minus_fresh,0.9708333333333333,0.9291666666666667,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,601,ten_minus_one,0.008333333333333333,0.0,0.020833333333333332,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,601,reuse_minus_fresh,0.9666666666666667,0.9,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,607,ten_minus_one,0.0,0.0,0.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,607,reuse_minus_fresh,0.9375,0.8416666666666667,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,613,ten_minus_one,0.0,0.0,0.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,613,reuse_minus_fresh,1.0,1.0,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,deepsets,601,ten_minus_one,-0.025,-0.1,0.016666666666666666,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,deepsets,601,reuse_minus_fresh,0.9333333333333333,0.8333333333333334,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,deepsets,607,ten_minus_one,-0.1,-0.23333333333333334,0.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,deepsets,607,reuse_minus_fresh,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,deepsets,613,ten_minus_one,-0.07083333333333333,-0.17083333333333334,0.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,deepsets,613,reuse_minus_fresh,0.9041666666666667,0.7875,0.9916666666666667,0.95,2000,30,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,1,single_mlp,601,reuse_minus_fresh,0.99375,0.98125,1.0,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,1,single_mlp,607,reuse_minus_fresh,0.984375,0.9625,1.0,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,1,single_mlp,613,reuse_minus_fresh,0.98125,0.95625,1.0,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,601,ten_minus_one,0.0,0.0,0.0,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,601,reuse_minus_fresh,0.975,0.925,1.0,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,607,ten_minus_one,0.0,0.0,0.0,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,607,reuse_minus_fresh,0.975,0.925,1.0,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,613,ten_minus_one,0.0,0.0,0.0,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,613,reuse_minus_fresh,0.975,0.925,1.0,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,10,deepsets,601,ten_minus_one,-0.025,-0.075,0.0,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,10,deepsets,601,reuse_minus_fresh,0.95,0.875,1.0,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,10,deepsets,607,ten_minus_one,-0.075,-0.175,0.0,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,10,deepsets,607,reuse_minus_fresh,0.9,0.8,0.975,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,10,deepsets,613,ten_minus_one,-0.084375,-0.175,-0.009375,0.95,2000,40,91223
bounded_validation,FEI,91831,IoM-GRP,random_key_pool_1,10,deepsets,613,reuse_minus_fresh,0.890625,0.790625,0.975,0.95,2000,40,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,1,single_mlp,601,reuse_minus_fresh,0.9583333333333334,0.9083333333333333,0.9958333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,1,single_mlp,607,reuse_minus_fresh,0.9583333333333334,0.9291666666666667,0.9833333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,1,single_mlp,613,reuse_minus_fresh,0.9583333333333334,0.9208333333333333,0.9875,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,10,mean_mlp,601,ten_minus_one,0.0125,0.0,0.03333333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,10,mean_mlp,601,reuse_minus_fresh,0.9666666666666667,0.9,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,10,mean_mlp,607,ten_minus_one,0.016666666666666666,0.0,0.0375,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,10,mean_mlp,607,reuse_minus_fresh,0.9666666666666667,0.9,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,10,mean_mlp,613,ten_minus_one,0.004166666666666667,0.0,0.0125,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,10,mean_mlp,613,reuse_minus_fresh,0.9666666666666667,0.9,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,10,deepsets,601,ten_minus_one,-0.058333333333333334,-0.14583333333333334,0.004166666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,10,deepsets,601,reuse_minus_fresh,0.8958333333333334,0.7666666666666667,0.9958333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,10,deepsets,607,ten_minus_one,-0.05,-0.14166666666666666,0.0125,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,10,deepsets,607,reuse_minus_fresh,0.9,0.7666666666666667,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,random_key_pool_1,10,deepsets,613,ten_minus_one,-0.016666666666666666,-0.05,0.0,0.95,2000,30,91223
