stage,dataset,scheme,split_seed,chance,condition,model,model_seeds,identity_clusters,gain,seed_sd,lower95,upper95,primary,signflip_p,holm_p
bounded_validation,FEI,IoM-GRP,91831,0.025,independent_unseen_keys,mean_mlp,3,40,0.011458333333333333,0.006505206248331665,-0.014583333333333334,0.06041666666666667,False,,
bounded_validation,FEI,IoM-GRP,91831,0.025,independent_unseen_keys,deepsets,3,40,0.011458333333333333,0.006505206248331665,-0.014583333333333334,0.06041666666666667,False,,
bounded_validation,FEI,IoM-GRP,91831,0.025,random_key_pool_1,mean_mlp,3,40,0.0,0.0,0.0,0.0,False,,
bounded_validation,FEI,IoM-GRP,91831,0.025,random_key_pool_1,deepsets,3,40,-0.06145833333333333,0.03191990301259284,-0.13755208333333335,0.0,False,,
bounded_validation,FEI,IoM-GRP,91831,0.025,random_key_pool_4,mean_mlp,3,40,0.28229166666666666,0.04311292101369765,0.20309895833333333,0.36255208333333305,True,0.0005,0.004
bounded_validation,FEI,IoM-GRP,91831,0.025,random_key_pool_4,deepsets,3,40,0.08645833333333333,0.07087161955489188,-0.033359375,0.18645833333333334,False,,
bounded_validation,FEI,IoM-GRP,91843,0.025,independent_unseen_keys,mean_mlp,3,40,-0.005208333333333333,0.01097463932588827,-0.03854166666666667,0.01981770833333319,False,,
bounded_validation,FEI,IoM-GRP,91843,0.025,independent_unseen_keys,deepsets,3,40,-0.005208333333333333,0.01097463932588827,-0.03854166666666667,0.01981770833333319,False,,
bounded_validation,FEI,IoM-GRP,91843,0.025,random_key_pool_1,mean_mlp,3,40,-0.003125,0.019008632907181938,-0.04791666666666667,0.01875,False,,
bounded_validation,FEI,IoM-GRP,91843,0.025,random_key_pool_1,deepsets,3,40,-0.08229166666666667,0.015728821740147395,-0.165625,-0.01875,False,,
bounded_validation,FEI,IoM-GRP,91843,0.025,random_key_pool_4,mean_mlp,3,40,0.25833333333333336,0.03442231592053814,0.1875,0.33645833333333336,True,0.0005,0.004
bounded_validation,FEI,IoM-GRP,91843,0.025,random_key_pool_4,deepsets,3,40,0.035416666666666666,0.058989979728199034,-0.070859375,0.12916666666666668,False,,
bounded_validation,FEI,PolyProtect,91831,0.025,independent_unseen_keys,mean_mlp,3,40,-0.01875,0.011267347735824967,-0.05731770833333333,0.007291666666666667,False,,
bounded_validation,FEI,PolyProtect,91831,0.025,independent_unseen_keys,deepsets,3,40,-0.003125,0.008267972847076846,-0.0375,0.03440104166666653,False,,
bounded_validation,FEI,PolyProtect,91831,0.025,random_key_pool_1,mean_mlp,3,40,-0.06979166666666667,0.04378718657704938,-0.15833333333333333,-0.00625,False,,
bounded_validation,FEI,PolyProtect,91831,0.025,random_key_pool_1,deepsets,3,40,-0.15416666666666667,0.022606806681469496,-0.248984375,-0.07080729166666681,False,,
bounded_validation,FEI,PolyProtect,91831,0.025,random_key_pool_4,mean_mlp,3,40,0.23958333333333334,0.02835553664336708,0.14270833333333333,0.334375,True,0.0005,0.004
bounded_validation,FEI,PolyProtect,91831,0.025,random_key_pool_4,deepsets,3,40,0.146875,0.07064159097160823,0.0,0.2739843749999999,False,,
bounded_validation,FEI,PolyProtect,91843,0.025,independent_unseen_keys,mean_mlp,3,40,-0.003125,0.003125,-0.020833333333333332,0.009375,False,,
bounded_validation,FEI,PolyProtect,91843,0.025,independent_unseen_keys,deepsets,3,40,-0.0010416666666666667,0.004773516348912334,-0.01981770833333333,0.0125,False,,
bounded_validation,FEI,PolyProtect,91843,0.025,random_key_pool_1,mean_mlp,3,40,-0.075,0.042961647140211,-0.16770833333333332,-0.015625,False,,
bounded_validation,FEI,PolyProtect,91843,0.025,random_key_pool_1,deepsets,3,40,-0.20416666666666666,0.08582852939631049,-0.33958333333333335,-0.08541666666666667,False,,
bounded_validation,FEI,PolyProtect,91843,0.025,random_key_pool_4,mean_mlp,3,40,0.21354166666666666,0.06174017296973934,0.10208333333333333,0.31460937499999986,True,0.0005,0.004
bounded_validation,FEI,PolyProtect,91843,0.025,random_key_pool_4,deepsets,3,40,0.084375,0.12179484543690673,-0.06044270833333333,0.2427864583333329,False,,
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,independent_unseen_keys,mean_mlp,3,30,0.008333333333333333,0.03560001560548971,-0.03333333333333333,0.06392361111111092,False,,
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,independent_unseen_keys,deepsets,3,30,0.006944444444444444,0.009622504486493762,-0.022222222222222223,0.04027777777777778,False,,
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_1,mean_mlp,3,30,0.002777777777777778,0.004811252243246881,0.0,0.0125,False,,
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_1,deepsets,3,30,-0.06527777777777778,0.03780738219115611,-0.16260416666666666,3.4722222222032744e-05,False,,
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_4,mean_mlp,3,30,0.3736111111111111,0.05838291543606585,0.26666666666666666,0.48194444444444445,True,0.0005,0.004
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_4,deepsets,3,30,0.12916666666666668,0.12211959074794038,-0.03614583333333333,0.2945138888888885,False,,
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,independent_unseen_keys,mean_mlp,3,30,0.002777777777777778,0.006364688465216445,-0.0403125,0.05697916666666648,False,,
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,independent_unseen_keys,deepsets,3,30,0.002777777777777778,0.006364688465216445,-0.05,0.0792013888888887,False,,
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,mean_mlp,3,30,0.011111111111111112,0.006364688465216445,0.0,0.027777777777777776,False,,
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,deepsets,3,30,-0.041666666666666664,0.022047927592204922,-0.11666666666666667,0.005555555555555556,False,,
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,mean_mlp,3,30,0.4083333333333333,0.04330127018922194,0.31385416666666666,0.49722222222222223,True,0.0005,0.004
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,deepsets,3,30,0.10833333333333334,0.09081039465709737,-0.033368055555555554,0.24444444444444444,False,,
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,independent_unseen_keys,mean_mlp,3,30,-0.011111111111111112,0.013393959390267994,-0.043055555555555555,0.0125,False,,
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,independent_unseen_keys,deepsets,3,30,-0.008333333333333333,0.0041666666666666675,-0.05555555555555555,0.03333333333333333,False,,
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_1,mean_mlp,3,30,-0.10694444444444444,0.01969089844271921,-0.20697916666666666,-0.027777777777777776,False,,
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_1,deepsets,3,30,-0.24166666666666667,0.05788518328937419,-0.39034722222222223,-0.12083333333333333,False,,
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_4,mean_mlp,3,30,0.2125,0.06137883276106764,0.08052083333333335,0.3333680555555553,True,0.0005,0.004
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_4,deepsets,3,30,0.18333333333333332,0.107124667768187,0.025,0.3611111111111111,False,,
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,independent_unseen_keys,mean_mlp,3,30,0.002777777777777778,0.013393959390267994,-0.013888888888888888,0.027777777777777776,False,,
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,independent_unseen_keys,deepsets,3,30,-0.001388888888888889,0.01272937693043289,-0.025,0.025,False,,
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_1,mean_mlp,3,30,-0.10138888888888889,0.00962250448649376,-0.20833333333333334,-0.016666666666666666,False,,
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_1,deepsets,3,30,-0.24861111111111112,0.11824331474329312,-0.42916666666666664,-0.09722222222222222,False,,
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_4,mean_mlp,3,30,0.29305555555555557,0.14217637064706065,0.08611111111111111,0.475,True,0.0005,0.004
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_4,deepsets,3,30,0.2847222222222222,0.0445528192565151,0.1221875,0.4375,False,,
