stage,dataset,scheme,split_seed,chance,condition,exposures,model,model_seeds,identity_clusters,top1_mean,seed_sd,lower95,upper95
bounded_validation,FEI,IoM-GRP,91831,0.025,independent_unseen_keys,1,single_mlp,3,40,0.013541666666666667,0.006505206248331665,0.0,0.034375
bounded_validation,FEI,IoM-GRP,91831,0.025,independent_unseen_keys,10,mean_mlp,3,40,0.025,4.2491873609703695e-18,0.0,0.075
bounded_validation,FEI,IoM-GRP,91831,0.025,independent_unseen_keys,10,deepsets,3,40,0.025,4.2491873609703695e-18,0.0,0.075
bounded_validation,FEI,IoM-GRP,91831,0.025,random_key_pool_1,1,single_mlp,3,40,1.0,0.0,1.0,1.0
bounded_validation,FEI,IoM-GRP,91831,0.025,random_key_pool_1,10,mean_mlp,3,40,1.0,0.0,1.0,1.0
bounded_validation,FEI,IoM-GRP,91831,0.025,random_key_pool_1,10,deepsets,3,40,0.9385416666666667,0.03191990301259281,0.8624479166666668,1.0
bounded_validation,FEI,IoM-GRP,91831,0.025,random_key_pool_4,1,single_mlp,3,40,0.7125,0.04728983109506734,0.6260416666666667,0.7958333333333333
bounded_validation,FEI,IoM-GRP,91831,0.025,random_key_pool_4,10,mean_mlp,3,40,0.9947916666666666,0.00477351634891234,0.98125,1.0
bounded_validation,FEI,IoM-GRP,91831,0.025,random_key_pool_4,10,deepsets,3,40,0.7989583333333333,0.11551233249455807,0.6468489583333333,0.9198177083333332
bounded_validation,FEI,IoM-GRP,91843,0.025,independent_unseen_keys,1,single_mlp,3,40,0.030208333333333334,0.01097463932588827,0.0,0.075
bounded_validation,FEI,IoM-GRP,91843,0.025,independent_unseen_keys,10,mean_mlp,3,40,0.025,4.2491873609703695e-18,0.0,0.075
bounded_validation,FEI,IoM-GRP,91843,0.025,independent_unseen_keys,10,deepsets,3,40,0.025,4.2491873609703695e-18,0.0,0.075
bounded_validation,FEI,IoM-GRP,91843,0.025,random_key_pool_1,1,single_mlp,3,40,0.99375,0.003124999999999989,0.98125,1.0
bounded_validation,FEI,IoM-GRP,91843,0.025,random_key_pool_1,10,mean_mlp,3,40,0.990625,0.0162379763209582,0.95,1.0
bounded_validation,FEI,IoM-GRP,91843,0.025,random_key_pool_1,10,deepsets,3,40,0.9114583333333334,0.012629537138523075,0.8291666666666667,0.975
bounded_validation,FEI,IoM-GRP,91843,0.025,random_key_pool_4,1,single_mlp,3,40,0.6895833333333333,0.014091405477571524,0.6052083333333333,0.7708333333333334
bounded_validation,FEI,IoM-GRP,91843,0.025,random_key_pool_4,10,mean_mlp,3,40,0.9479166666666666,0.02033252218327411,0.8802083333333334,0.9958333333333333
bounded_validation,FEI,IoM-GRP,91843,0.025,random_key_pool_4,10,deepsets,3,40,0.725,0.057025898721545815,0.591640625,0.8500260416666665
bounded_validation,FEI,PolyProtect,91831,0.025,independent_unseen_keys,1,single_mlp,3,40,0.028125,0.008267972847076845,0.0,0.06981770833333319
bounded_validation,FEI,PolyProtect,91831,0.025,independent_unseen_keys,10,mean_mlp,3,40,0.009375,0.009375,0.0,0.0375
bounded_validation,FEI,PolyProtect,91831,0.025,independent_unseen_keys,10,deepsets,3,40,0.025,4.2491873609703695e-18,0.0,0.075
bounded_validation,FEI,PolyProtect,91831,0.025,random_key_pool_1,1,single_mlp,3,40,0.996875,0.003124999999999989,0.9875,1.0
bounded_validation,FEI,PolyProtect,91831,0.025,random_key_pool_1,10,mean_mlp,3,40,0.9270833333333334,0.04690970937165709,0.8354166666666667,0.99375
bounded_validation,FEI,PolyProtect,91831,0.025,random_key_pool_1,10,deepsets,3,40,0.8427083333333333,0.023034733736975014,0.7458333333333333,0.925
bounded_validation,FEI,PolyProtect,91831,0.025,random_key_pool_4,1,single_mlp,3,40,0.6125,0.019515618744994995,0.5364322916666667,0.6854166666666667
bounded_validation,FEI,PolyProtect,91831,0.025,random_key_pool_4,10,mean_mlp,3,40,0.8520833333333333,0.03252603124165832,0.7562239583333333,0.9281510416666665
bounded_validation,FEI,PolyProtect,91831,0.025,random_key_pool_4,10,deepsets,3,40,0.759375,0.06226518389116026,0.638515625,0.8698177083333332
bounded_validation,FEI,PolyProtect,91843,0.025,independent_unseen_keys,1,single_mlp,3,40,0.026041666666666668,0.004773516348912334,0.0,0.071875
bounded_validation,FEI,PolyProtect,91843,0.025,independent_unseen_keys,10,mean_mlp,3,40,0.022916666666666665,0.003608439182435162,0.0,0.075
bounded_validation,FEI,PolyProtect,91843,0.025,independent_unseen_keys,10,deepsets,3,40,0.025,4.2491873609703695e-18,0.0,0.075
bounded_validation,FEI,PolyProtect,91843,0.025,random_key_pool_1,1,single_mlp,3,40,1.0,0.0,1.0,1.0
