stage,dataset,split_seed,scheme,condition,exposures,model,seed,estimate,lower,upper,confidence,resamples,identity_clusters,margin,interval_within_margin,analysis
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.016666666666666666,-0.03333333333333333,0.008333333333333337,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.016666666666666666,-0.03333333333333333,0.008333333333333337,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.016666666666666666,-0.03333333333333333,0.008333333333333337,0.9,2000,30,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.012500000000000004,-0.016666666666666666,0.04583333333333333,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.012500000000000004,-0.016666666666666666,0.04583333333333333,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.012500000000000004,-0.016666666666666666,0.04583333333333333,0.9,2000,30,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.004166666666666668,-0.029166666666666667,0.04999999999999998,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.004166666666666668,-0.029166666666666667,0.04999999999999998,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.004166666666666668,-0.029166666666666667,0.04999999999999998,0.9,2000,30,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,-0.0041666666666666675,-0.03333333333333333,0.03333333333333332,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,-0.0041666666666666675,-0.03333333333333333,0.03333333333333332,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,-0.0041666666666666675,-0.03333333333333333,0.03333333333333332,0.9,2000,30,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,0.020833333333333332,-0.03333333333333333,0.07916666666666668,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,0.020833333333333332,-0.03333333333333333,0.07916666666666668,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,0.020833333333333332,-0.03333333333333333,0.07916666666666668,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,-0.004166666666666666,-0.03333333333333333,0.045833333333333316,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,-0.004166666666666666,-0.03333333333333333,0.045833333333333316,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,-0.004166666666666666,-0.03333333333333333,0.045833333333333316,0.9,2000,30,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,0.004166666666666668,-0.03333333333333333,0.04999999999999998,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,0.004166666666666668,-0.03333333333333333,0.04999999999999998,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,0.004166666666666668,-0.03333333333333333,0.04999999999999998,0.9,2000,30,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,0.016666666666666666,-0.03333333333333333,0.07916666666666665,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,0.016666666666666666,-0.03333333333333333,0.07916666666666665,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,0.016666666666666666,-0.03333333333333333,0.07916666666666665,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.041666666666666664,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.041666666666666664,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.041666666666666664,0.9,2000,30,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
