dataset,split_seed,key_seed,scheme,chance,identity_balanced_top1,probe_weighted_top1,lower95,upper95,permutation_p,null_mean,identity_clusters,permutations,holm_p
MOBIO,91831,91873,PolyProtect,0.03333333333333333,0.14545454545454545,0.14545454545454545,0.10606060606060605,0.18787878787878784,0.0005,0.03344702654357482,30,1999,0.006
MOBIO,91831,91879,PolyProtect,0.03333333333333333,0.10909090909090909,0.10909090909090909,0.0818181818181818,0.13939393939393938,0.0005,0.03334394469962254,30,1999,0.006
MOBIO,91831,91883,PolyProtect,0.03333333333333333,0.11818181818181817,0.11818181818181818,0.08484848484848483,0.1515151515151515,0.0005,0.03360771294738279,30,1999,0.006
SCface,91831,91873,PolyProtect,0.038461538461538464,0.07217081164449585,0.07208872458410351,0.04624361384229805,0.10111058897243108,0.0005,0.03845978319794175,26,1999,0.006
SCface,91831,91879,PolyProtect,0.038461538461538464,0.0780508964719491,0.07763401109057301,0.053782774243300566,0.10128434065934065,0.0005,0.03848627128293277,26,1999,0.006
SCface,91831,91883,PolyProtect,0.038461538461538464,0.10707056101792943,0.10720887245841035,0.07977937632542893,0.13443452380952378,0.0005,0.03850942002715258,26,1999,0.006
MOBIO,91843,91873,PolyProtect,0.03333333333333333,0.12787878787878787,0.1276595744680851,0.08484848484848485,0.16969696969696965,0.0005,0.03344930040777965,30,1999,0.006
MOBIO,91843,91879,PolyProtect,0.03333333333333333,0.12181818181818181,0.12158054711246201,0.08848484848484847,0.15515151515151512,0.0005,0.03348446950748101,30,1999,0.006
MOBIO,91843,91883,PolyProtect,0.03333333333333333,0.11636363636363635,0.11550151975683891,0.08484848484848483,0.15090909090909088,0.0005,0.03281004138432853,30,1999,0.006
SCface,91843,91873,PolyProtect,0.038461538461538464,0.14322344322344321,0.14311926605504588,0.10841575091575091,0.178021978021978,0.0005,0.0386725872093556,26,1999,0.006
SCface,91843,91879,PolyProtect,0.038461538461538464,0.11556776556776555,0.11559633027522936,0.08809523809523809,0.14544871794871778,0.0005,0.038696133781176305,26,1999,0.006
SCface,91843,91883,PolyProtect,0.038461538461538464,0.10073260073260072,0.10091743119266056,0.08241758241758242,0.12087912087912087,0.0005,0.03831091369860754,26,1999,0.006
