stage,dataset,scheme,split_seed,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,input_dimension,zero_rows,constant_columns,native_top1,native_auroc
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,4800,0,0,0.030303030303030304,0.48614420062695923
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,4800,0,0,0.02033271719038817,0.4808908675315446
bounded_validation,MOBIO,IoM-GRP,91843,independent_unseen_keys,30,0.03333333333333333,92101,92107,8346b122981394df3152a67e92ba2e28b9242537eca4170f5822e310015e43ce,02d0811437074f99181cd743a47339c7185bc5fa,4800,0,0,0.0364741641337386,0.4920294400521952
bounded_validation,SCface,IoM-GRP,91843,independent_unseen_keys,26,0.038461538461538464,92101,92107,bc92a20c31e18054fcddc44dac05e997f38c578caa3ea29e485c61e8de89f898,02d0811437074f99181cd743a47339c7185bc5fa,4800,0,0,0.045871559633027525,0.5167354263109166
bounded_validation,MOBIO,PolyProtect,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,cc08879efe58d3d34319be02f2b082bf36a36370bc061895d2c8470cd9d3d23c,02d0811437074f99181cd743a47339c7185bc5fa,170,0,0,0.12727272727272726,0.506434248440518
bounded_validation,SCface,PolyProtect,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,6541bb94961eee765eb66abe8b62e65939cd1face32983469dc013bb02873055,02d0811437074f99181cd743a47339c7185bc5fa,170,0,0,0.12014787430683918,0.5269122355055504
bounded_validation,MOBIO,PolyProtect,91843,independent_unseen_keys,30,0.03333333333333333,92101,92107,04a7cfaf0d4788bc435135b6f22858be564a7a1b90c50045cfe6117048e55012,02d0811437074f99181cd743a47339c7185bc5fa,170,0,0,0.1398176291793313,0.5198380752528919
bounded_validation,SCface,PolyProtect,91843,independent_unseen_keys,26,0.038461538461538464,92101,92107,0aba7a981d83a40e138dd9c86f90135843b928c30f0962f02503cc4ab049a94b,02d0811437074f99181cd743a47339c7185bc5fa,170,0,0,0.09541284403669725,0.4778513593131892
bounded_validation,MOBIO,IoM-GRP,91831,random_key_pool_1,30,0.03333333333333333,92101,92107,9e9236a4b9193e4cebbe2843938206707914babf11cfbb61c5c4456da8605f64,02d0811437074f99181cd743a47339c7185bc5fa,4800,0,0,1.0,1.0
bounded_validation,SCface,IoM-GRP,91831,random_key_pool_1,26,0.038461538461538464,92101,92107,e14d94ab27932bf9b007f5ff7bd82d2f84ab7997537128184817b9ccba4d0f6c,02d0811437074f99181cd743a47339c7185bc5fa,4800,0,0,0.789279112754159,0.9357232618448073
