stage,dataset,split_seed,scheme,condition,exposures,model,seed,contrast,estimate,lower,upper,confidence,resamples,identity_clusters,bootstrap_seed
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,0.016666666666666666,-0.0375,0.0875,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,-0.0125,-0.05,0.03333333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,0.0125,-0.041666666666666664,0.08333333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,601,ten_minus_one,0.016666666666666666,-0.0375,0.0875,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,607,ten_minus_one,-0.0125,-0.05,0.03333333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,613,ten_minus_one,-0.004166666666666667,-0.041666666666666664,0.03333333333333333,0.95,2000,30,91223
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,0.0,0.0,0.0,0.95,2000,26,91223
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,0.0,0.0,0.0,0.95,2000,26,91223
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,0.0,0.0,0.0,0.95,2000,26,91223
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,deepsets,601,ten_minus_one,0.0,0.0,0.0,0.95,2000,26,91223
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,deepsets,607,ten_minus_one,0.0,0.0,0.0,0.95,2000,26,91223
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,deepsets,613,ten_minus_one,0.0,0.0,0.0,0.95,2000,26,91223
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,-0.016666666666666666,-0.06666666666666667,0.029166666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,-0.0125,-0.07083333333333333,0.0625,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,0.004166666666666667,-0.058333333333333334,0.0875,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,601,ten_minus_one,-0.008333333333333333,-0.05416666666666667,0.05,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,607,ten_minus_one,-0.008333333333333333,-0.07083333333333333,0.08333333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,613,ten_minus_one,0.004166666666666667,-0.05,0.075,0.95,2000,30,91223
bounded_validation,SCface,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,-0.009615384615384616,-0.07211538461538461,0.04326923076923077,0.95,2000,26,91223
bounded_validation,SCface,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,0.0,0.0,0.0,0.95,2000,26,91223
bounded_validation,SCface,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,-0.004807692307692308,-0.08653846153846154,0.07211538461538461,0.95,2000,26,91223
bounded_validation,SCface,91843,IoM-GRP,independent_unseen_keys,10,deepsets,601,ten_minus_one,-0.004807692307692308,-0.057692307692307696,0.04326923076923077,0.95,2000,26,91223
bounded_validation,SCface,91843,IoM-GRP,independent_unseen_keys,10,deepsets,607,ten_minus_one,0.0,0.0,0.0,0.95,2000,26,91223
bounded_validation,SCface,91843,IoM-GRP,independent_unseen_keys,10,deepsets,613,ten_minus_one,-0.004807692307692308,-0.10096153846153846,0.08653846153846154,0.95,2000,26,91223
bounded_validation,MOBIO,91831,PolyProtect,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,0.0375,0.0,0.09583333333333334,0.95,2000,30,91223
bounded_validation,MOBIO,91831,PolyProtect,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,-0.008333333333333333,-0.0625,0.0375,0.95,2000,30,91223
bounded_validation,MOBIO,91831,PolyProtect,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,0.025,-0.004166666666666667,0.0625,0.95,2000,30,91223
bounded_validation,MOBIO,91831,PolyProtect,independent_unseen_keys,10,deepsets,601,ten_minus_one,0.016666666666666666,-0.05,0.1,0.95,2000,30,91223
bounded_validation,MOBIO,91831,PolyProtect,independent_unseen_keys,10,deepsets,607,ten_minus_one,-0.004166666666666667,-0.05,0.0375,0.95,2000,30,91223
