stage,dataset,scheme,split_seed,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,exposures,model,seed,top1,top5,auroc,eer,tar_at_far_1e-2,tar_at_far_1e-3,lower95,upper95,best_epoch,elapsed_seconds,oracle_top1
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,1,single_mlp,601,0.016666666666666666,0.17916666666666667,0.5199754549808429,0.47931034482758617,0.0125,0.0,0.0,0.05,4,4.316415548324585,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,1,single_mlp,607,0.04583333333333333,0.2,0.5028759578544061,0.5053160919540229,0.016666666666666666,0.0,0.0125,0.0876041666666661,4,0.30554914474487305,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,1,single_mlp,613,0.0375,0.15416666666666667,0.49015265804597696,0.5007902298850575,0.004166666666666667,0.0,0.0,0.0875,4,0.2824981212615967,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,2,mean_mlp,601,0.029166666666666667,0.1625,0.5202825670498085,0.4788074712643678,0.008333333333333333,0.0,0.0,0.075,5,0.2523193359375,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,2,mean_mlp,607,0.05416666666666667,0.2,0.5100233477011494,0.5082614942528736,0.025,0.004166666666666667,0.0,0.13333333333333333,5,0.2479860782623291,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,2,mean_mlp,613,0.029166666666666667,0.16666666666666666,0.4984494731800766,0.5040948275862069,0.008333333333333333,0.0,0.0,0.08333333333333333,4,0.24233627319335938,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,2,deepsets,601,0.0375,0.15416666666666667,0.5027256944444445,0.4913793103448276,0.0125,0.0,0.0,0.09583333333333334,10,0.36457037925720215,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,2,deepsets,607,0.03333333333333333,0.16666666666666666,0.49884818007662834,0.5007902298850575,0.004166666666666667,0.0,0.0,0.1,7,0.3599722385406494,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,2,deepsets,613,0.05,0.16666666666666666,0.49913433908045973,0.500933908045977,0.008333333333333333,0.0,0.0,0.12916666666666668,8,0.39051342010498047,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,5,mean_mlp,601,0.03333333333333333,0.15416666666666667,0.5095318486590038,0.49741379310344824,0.004166666666666667,0.0,0.0,0.09166666666666666,6,0.28652453422546387,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,5,mean_mlp,607,0.03333333333333333,0.17083333333333334,0.5078400383141762,0.5090517241379311,0.025,0.008333333333333333,0.0,0.1,5,0.3244476318359375,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,5,mean_mlp,613,0.03333333333333333,0.1625,0.4966109913793103,0.5200431034482758,0.0,0.0,0.0,0.1,5,0.2685098648071289,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,5,deepsets,601,0.03333333333333333,0.16666666666666666,0.49808369252873563,0.5008620689655172,0.004166666666666667,0.0,0.0,0.1,12,0.41277146339416504,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,5,deepsets,607,0.03333333333333333,0.16666666666666666,0.5007471264367815,0.4908045977011495,0.0,0.0,0.0,0.1,8,0.37895655632019043,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,5,deepsets,613,0.03333333333333333,0.16666666666666666,0.49839439655172413,0.5053160919540229,0.0,0.0,0.0,0.1,9,1.6433064937591553,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,10,mean_mlp,601,0.03333333333333333,0.16666666666666666,0.5087559865900383,0.5042385057471264,0.0,0.0,0.0,0.1,6,0.3507504463195801,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,10,mean_mlp,607,0.03333333333333333,0.19583333333333333,0.5001915708812261,0.5210488505747126,0.03333333333333333,0.0,0.0,0.1,6,0.38706302642822266,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,10,mean_mlp,613,0.05,0.16666666666666666,0.4882046216475096,0.5040948275862069,0.0,0.0,0.0,0.13333333333333333,7,0.357036828994751,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,10,deepsets,601,0.03333333333333333,0.16666666666666666,0.4971827107279694,0.49540229885057474,0.016666666666666666,0.0,0.0,0.1,14,0.8040866851806641,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,10,deepsets,607,0.03333333333333333,0.16666666666666666,0.5017139607279694,0.5099137931034483,0.0,0.0,0.0,0.1,8,0.6312034130096436,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,10,deepsets,613,0.03333333333333333,0.16666666666666666,0.49373802681992335,0.5032327586206897,0.0,0.0,0.0,0.1,11,0.6746985912322998,1.0
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,1,single_mlp,601,0.038461538461538464,0.18269230769230768,0.5095183062130177,0.4903846153846154,0.019230769230769232,0.0,0.0,0.11538461538461539,7,0.4026145935058594,0.8317307692307693
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,1,single_mlp,607,0.038461538461538464,0.21153846153846154,0.5024140162721893,0.5050961538461538,0.014423076923076924,0.0,0.0,0.11538461538461539,6,0.2498791217803955,0.8317307692307693
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,1,single_mlp,613,0.038461538461538464,0.14903846153846154,0.47956638313609473,0.5153846153846153,0.004807692307692308,0.0,0.0,0.11538461538461539,6,0.2522261142730713,0.8317307692307693
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,2,mean_mlp,601,0.038461538461538464,0.19230769230769232,0.5038840606508876,0.5001923076923077,0.03365384615384615,0.014423076923076924,0.0,0.11538461538461539,10,0.2874782085418701,0.9134615384615384
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,2,mean_mlp,607,0.038461538461538464,0.19230769230769232,0.498539201183432,0.5111538461538461,0.014423076923076924,0.0,0.0,0.11538461538461539,8,0.27812671661376953,0.9134615384615384
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,2,mean_mlp,613,0.038461538461538464,0.19230769230769232,0.492446375739645,0.5101923076923076,0.0,0.0,0.0,0.11538461538461539,9,0.2819654941558838,0.9134615384615384
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,2,deepsets,601,0.038461538461538464,0.19230769230769232,0.5014154955621302,0.4997115384615385,0.004807692307692308,0.0,0.0,0.11538461538461539,23,0.4675259590148926,0.9134615384615384
