case,group,label,v3_prediction,v3_outcome,baseline_prediction,baseline_outcome
biohash_recurring,executable_recipe,reuse,reuse,correct,abstain,abstain
biohash_fresh,executable_recipe,fresh,fresh,correct,abstain,abstain
iomgrp_recurring,executable_recipe,reuse,reuse,correct,abstain,abstain
iomgrp_fresh,executable_recipe,fresh,fresh,correct,abstain,abstain
polyprotect_recurring,executable_recipe,reuse,reuse,correct,abstain,abstain
polyprotect_fresh,executable_recipe,fresh,fresh,correct,abstain,abstain
fresh_real_keywords,frozen_confirmation,fresh,fresh,correct,fresh,correct
fresh_list_selection,frozen_confirmation,fresh,fresh,correct,abstain,abstain
fresh_dictionary_selection,frozen_confirmation,fresh,fresh,correct,abstain,abstain
fresh_literal_loop,frozen_confirmation,fresh,fresh,correct,abstain,abstain
fresh_helper_keywords,frozen_confirmation,fresh,fresh,correct,abstain,abstain
fresh_default_config,frozen_confirmation,fresh,fresh,correct,fresh,correct
fresh_projection_keywords,frozen_confirmation,fresh,fresh,correct,abstain,abstain
fresh_floor_identity,frozen_confirmation,fresh,abstain,abstain,reuse,false_reuse
fresh_negative_affine,frozen_confirmation,fresh,fresh,correct,fresh,correct
fresh_projection_default_flag,frozen_confirmation,fresh,fresh,correct,abstain,abstain
reuse_negative_floor_division,frozen_confirmation,reuse,reuse,correct,reuse,correct
reuse_fixed_dictionary_selection,frozen_confirmation,reuse,reuse,correct,abstain,abstain
reuse_bounded_dictionary_selection,frozen_confirmation,reuse,reuse,correct,abstain,abstain
reuse_fixed_list_selection,frozen_confirmation,reuse,reuse,correct,abstain,abstain
reuse_helper_keywords,frozen_confirmation,reuse,reuse,correct,abstain,abstain
reuse_correlated_keywords,frozen_confirmation,reuse,reuse,correct,abstain,abstain
reuse_projection_keywords,frozen_confirmation,reuse,reuse,correct,abstain,abstain
reuse_nested_self_subtraction,frozen_confirmation,reuse,reuse,correct,reuse,correct
reuse_loop_then_modulo,frozen_confirmation,reuse,reuse,correct,abstain,abstain
reuse_branch_mixed_pools,frozen_confirmation,reuse,reuse,correct,abstain,abstain
