stage,dataset,split_seed,scheme,condition,exposures,model,seed,contrast,estimate,lower,upper,confidence,resamples,identity_clusters,bootstrap_seed
bounded_validation,MOBIO,92531,IoM-GRP,random_key_pool_4,1,single_mlp,701,reuse_minus_fresh,0.5916666666666667,0.4875,0.6875,0.95,2000,30,91223
bounded_validation,MOBIO,92531,IoM-GRP,random_key_pool_4,1,single_mlp,709,reuse_minus_fresh,0.5833333333333334,0.4832291666666669,0.6875,0.95,2000,30,91223
bounded_validation,MOBIO,92531,IoM-GRP,random_key_pool_4,1,single_mlp,719,reuse_minus_fresh,0.5291666666666667,0.42083333333333334,0.6291666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,92531,IoM-GRP,random_key_pool_4,10,mean_mlp,701,ten_minus_one,0.32916666666666666,0.225,0.44166666666666665,0.95,2000,30,91223
bounded_validation,MOBIO,92531,IoM-GRP,random_key_pool_4,10,mean_mlp,701,reuse_minus_fresh,0.9125,0.8123958333333335,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,92531,IoM-GRP,random_key_pool_4,10,mean_mlp,709,ten_minus_one,0.3625,0.2708333333333333,0.44583333333333336,0.95,2000,30,91223
bounded_validation,MOBIO,92531,IoM-GRP,random_key_pool_4,10,mean_mlp,709,reuse_minus_fresh,0.9333333333333333,0.8333333333333334,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,92531,IoM-GRP,random_key_pool_4,10,mean_mlp,719,ten_minus_one,0.3875,0.2916666666666667,0.4791666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,92531,IoM-GRP,random_key_pool_4,10,mean_mlp,719,reuse_minus_fresh,0.9166666666666666,0.8166666666666667,0.9958333333333333,0.95,2000,30,91223
bounded_validation,FEI,92531,IoM-GRP,random_key_pool_4,1,single_mlp,701,reuse_minus_fresh,0.671875,0.578125,0.753125,0.95,2000,40,91223
bounded_validation,FEI,92531,IoM-GRP,random_key_pool_4,1,single_mlp,709,reuse_minus_fresh,0.64375,0.5625,0.721875,0.95,2000,40,91223
bounded_validation,FEI,92531,IoM-GRP,random_key_pool_4,1,single_mlp,719,reuse_minus_fresh,0.6875,0.609375,0.765625,0.95,2000,40,91223
bounded_validation,FEI,92531,IoM-GRP,random_key_pool_4,10,mean_mlp,701,ten_minus_one,0.29375,0.221875,0.36875,0.95,2000,40,91223
bounded_validation,FEI,92531,IoM-GRP,random_key_pool_4,10,mean_mlp,701,reuse_minus_fresh,0.965625,0.90625,1.0,0.95,2000,40,91223
bounded_validation,FEI,92531,IoM-GRP,random_key_pool_4,10,mean_mlp,709,ten_minus_one,0.303125,0.234375,0.3750781249999996,0.95,2000,40,91223
bounded_validation,FEI,92531,IoM-GRP,random_key_pool_4,10,mean_mlp,709,reuse_minus_fresh,0.934375,0.859375,0.996875,0.95,2000,40,91223
bounded_validation,FEI,92531,IoM-GRP,random_key_pool_4,10,mean_mlp,719,ten_minus_one,0.25,0.175,0.321875,0.95,2000,40,91223
bounded_validation,FEI,92531,IoM-GRP,random_key_pool_4,10,mean_mlp,719,reuse_minus_fresh,0.934375,0.853125,1.0,0.95,2000,40,91223
bounded_validation,MOBIO,92543,IoM-GRP,random_key_pool_4,1,single_mlp,701,reuse_minus_fresh,0.6375,0.5291666666666667,0.7333333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,92543,IoM-GRP,random_key_pool_4,1,single_mlp,709,reuse_minus_fresh,0.5916666666666667,0.4875,0.6875,0.95,2000,30,91223
bounded_validation,MOBIO,92543,IoM-GRP,random_key_pool_4,1,single_mlp,719,reuse_minus_fresh,0.6458333333333334,0.5458333333333333,0.7333333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,701,ten_minus_one,0.31666666666666665,0.2375,0.4,0.95,2000,30,91223
bounded_validation,MOBIO,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,701,reuse_minus_fresh,0.9416666666666667,0.8625,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,709,ten_minus_one,0.35,0.26666666666666666,0.4375,0.95,2000,30,91223
bounded_validation,MOBIO,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,709,reuse_minus_fresh,0.925,0.8166666666666667,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,719,ten_minus_one,0.3416666666666667,0.2625,0.43333333333333335,0.95,2000,30,91223
bounded_validation,MOBIO,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,719,reuse_minus_fresh,0.9666666666666667,0.9,1.0,0.95,2000,30,91223
bounded_validation,FEI,92543,IoM-GRP,random_key_pool_4,1,single_mlp,701,reuse_minus_fresh,0.6375,0.540625,0.734375,0.95,2000,40,91223
bounded_validation,FEI,92543,IoM-GRP,random_key_pool_4,1,single_mlp,709,reuse_minus_fresh,0.63125,0.53125,0.728125,0.95,2000,40,91223
bounded_validation,FEI,92543,IoM-GRP,random_key_pool_4,1,single_mlp,719,reuse_minus_fresh,0.6625,0.578125,0.753125,0.95,2000,40,91223
bounded_validation,FEI,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,701,ten_minus_one,0.278125,0.184375,0.3719531249999996,0.95,2000,40,91223
bounded_validation,FEI,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,701,reuse_minus_fresh,0.93125,0.85,0.996875,0.95,2000,40,91223
bounded_validation,FEI,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,709,ten_minus_one,0.29375,0.20617187500000012,0.384375,0.95,2000,40,91223
bounded_validation,FEI,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,709,reuse_minus_fresh,0.9375,0.8625,1.0,0.95,2000,40,91223
