dataset,split_seed,scheme,exposures,model,before_top1,after_top1,reduction,lower95,upper95,after_lower95,after_upper95,signflip_p,model_seeds,identity_clusters,chance,primary,holm_p
MOBIO,92531,IoM-GRP,1,single_mlp,0.5944444444444444,0.02638888888888889,0.5680555555555555,0.46805555555555556,0.6625,0.0,0.0667013888888887,0.0005,3,30,0.03333333333333333,False,
MOBIO,92531,IoM-GRP,10,mean_mlp,0.9541666666666667,0.03333333333333333,0.9208333333333333,0.8166319444444444,0.9986111111111111,0.0,0.1,0.0005,3,30,0.03333333333333333,True,0.004
MOBIO,92531,PolyProtect,1,single_mlp,0.3527777777777778,0.03611111111111111,0.31666666666666665,0.21663194444444445,0.4041666666666667,0.0,0.09305555555555556,0.0005,3,30,0.03333333333333333,False,
MOBIO,92531,PolyProtect,10,mean_mlp,0.75,0.029166666666666667,0.7208333333333333,0.5833333333333334,0.8458333333333333,0.0,0.1,0.0005,3,30,0.03333333333333333,True,0.004
FEI,92531,IoM-GRP,1,single_mlp,0.6885416666666667,0.020833333333333332,0.6677083333333333,0.584375,0.75,0.0,0.057291666666666664,0.0005,3,40,0.025,False,
FEI,92531,IoM-GRP,10,mean_mlp,0.9708333333333333,0.026041666666666668,0.9447916666666667,0.8708333333333333,0.9979166666666667,0.0,0.07708333333333334,0.0005,3,40,0.025,True,0.004
FEI,92531,PolyProtect,1,single_mlp,0.521875,0.021875,0.5,0.390625,0.5989843749999999,0.0,0.06041666666666667,0.0005,3,40,0.025,False,
FEI,92531,PolyProtect,10,mean_mlp,0.85625,0.01875,0.8375,0.734375,0.925,0.0,0.05625,0.0005,3,40,0.025,True,0.004
MOBIO,92543,IoM-GRP,1,single_mlp,0.6472222222222223,0.022222222222222223,0.625,0.5305555555555556,0.712534722222222,0.0,0.0625,0.0005,3,30,0.03333333333333333,False,
MOBIO,92543,IoM-GRP,10,mean_mlp,0.9833333333333333,0.03888888888888889,0.9444444444444444,0.8611111111111112,1.0,0.0,0.10972222222222222,0.0005,3,30,0.03333333333333333,True,0.004
MOBIO,92543,PolyProtect,1,single_mlp,0.35555555555555557,0.027777777777777776,0.3277777777777778,0.23607638888888888,0.425,0.0,0.07777777777777778,0.0005,3,30,0.03333333333333333,False,
MOBIO,92543,PolyProtect,10,mean_mlp,0.7763888888888889,0.05555555555555555,0.7208333333333333,0.5847222222222223,0.8402777777777778,0.0,0.14444444444444443,0.0005,3,30,0.03333333333333333,True,0.004
FEI,92543,IoM-GRP,1,single_mlp,0.6791666666666667,0.035416666666666666,0.64375,0.5458072916666666,0.7291666666666666,0.004166666666666667,0.08125,0.0005,3,40,0.025,False,
FEI,92543,IoM-GRP,10,mean_mlp,0.9677083333333333,0.025,0.9427083333333334,0.86875,0.996875,0.0,0.075,0.0005,3,40,0.025,True,0.004
FEI,92543,PolyProtect,1,single_mlp,0.4635416666666667,0.023958333333333335,0.4395833333333333,0.35625,0.5229166666666667,0.0,0.065625,0.0005,3,40,0.025,False,
FEI,92543,PolyProtect,10,mean_mlp,0.8770833333333333,0.021875,0.8552083333333333,0.7625,0.9322916666666666,0.0,0.06979166666666667,0.0005,3,40,0.025,True,0.004
