stage,dataset,scheme,split_seed,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,exposures,model,seed,top1,top5,auroc,eer,tar_at_far_1e-2,tar_at_far_1e-3,lower95,upper95,best_epoch,elapsed_seconds,oracle_top1
bounded_validation,MOBIO,IoM-GRP,92531,random_key_pool_4,30,0.03333333333333333,92501,92507,c8060ac7678f8d9d647cc03cdd40c7921a15c96258f99ce8f7f6d053ac108055,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,701,0.6166666666666667,0.8458333333333333,0.940777658045977,0.15000000000000002,0.5041666666666667,0.25416666666666665,0.5208333333333334,0.7125,116,3.5387074947357178,1.0
bounded_validation,MOBIO,IoM-GRP,92531,random_key_pool_4,30,0.03333333333333333,92501,92507,c8060ac7678f8d9d647cc03cdd40c7921a15c96258f99ce8f7f6d053ac108055,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,709,0.6041666666666666,0.8916666666666667,0.9467061781609195,0.12076149425287358,0.5625,0.31666666666666665,0.5166666666666667,0.6958333333333333,113,2.2506136894226074,1.0
bounded_validation,MOBIO,IoM-GRP,92531,random_key_pool_4,30,0.03333333333333333,92501,92507,c8060ac7678f8d9d647cc03cdd40c7921a15c96258f99ce8f7f6d053ac108055,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,719,0.5625,0.8541666666666666,0.9413793103448276,0.14173850574712646,0.4041666666666667,0.2625,0.4625,0.6666666666666666,117,2.2553093433380127,1.0
bounded_validation,MOBIO,IoM-GRP,92531,random_key_pool_4,30,0.03333333333333333,92501,92507,c8060ac7678f8d9d647cc03cdd40c7921a15c96258f99ce8f7f6d053ac108055,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,701,0.9458333333333333,1.0,0.9981339798850575,0.030603448275862068,0.9416666666666667,0.9,0.8583333333333333,1.0,112,3.0963294506073,1.0
bounded_validation,MOBIO,IoM-GRP,92531,random_key_pool_4,30,0.03333333333333333,92501,92507,c8060ac7678f8d9d647cc03cdd40c7921a15c96258f99ce8f7f6d053ac108055,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,709,0.9666666666666667,1.0,0.9978047174329502,0.033333333333333326,0.9666666666666667,0.9666666666666667,0.9,1.0,117,3.1144754886627197,1.0
bounded_validation,MOBIO,IoM-GRP,92531,random_key_pool_4,30,0.03333333333333333,92501,92507,c8060ac7678f8d9d647cc03cdd40c7921a15c96258f99ce8f7f6d053ac108055,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,719,0.95,0.9958333333333333,0.9945803400383142,0.033333333333333326,0.9666666666666667,0.85,0.8666666666666667,1.0,118,3.1040313243865967,1.0
bounded_validation,FEI,IoM-GRP,92531,random_key_pool_4,40,0.025,92501,92507,81e5923f2d36076e3e3d8b092d37172ed8f761c152f3ed0ebebc0d2ff2b0080a,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,701,0.696875,0.953125,0.9742540564903847,0.08826121794871797,0.6375,0.359375,0.615625,0.771875,114,2.77099871635437,1.0
bounded_validation,FEI,IoM-GRP,92531,random_key_pool_4,40,0.025,92501,92507,81e5923f2d36076e3e3d8b092d37172ed8f761c152f3ed0ebebc0d2ff2b0080a,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,709,0.659375,0.934375,0.9646684695512822,0.1064903846153846,0.5875,0.278125,0.575,0.7375,110,2.7754790782928467,1.0
bounded_validation,FEI,IoM-GRP,92531,random_key_pool_4,40,0.025,92501,92507,81e5923f2d36076e3e3d8b092d37172ed8f761c152f3ed0ebebc0d2ff2b0080a,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,719,0.709375,0.934375,0.9695602964743589,0.0937099358974359,0.615625,0.3625,0.625,0.78125,113,2.7930190563201904,1.0
bounded_validation,FEI,IoM-GRP,92531,random_key_pool_4,40,0.025,92501,92507,81e5923f2d36076e3e3d8b092d37172ed8f761c152f3ed0ebebc0d2ff2b0080a,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,701,0.990625,1.0,0.9991391225961539,0.015625,0.978125,0.825,0.975,1.0,118,4.025645971298218,1.0
bounded_validation,FEI,IoM-GRP,92531,random_key_pool_4,40,0.025,92501,92507,81e5923f2d36076e3e3d8b092d37172ed8f761c152f3ed0ebebc0d2ff2b0080a,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,709,0.9625,1.0,0.9988105969551282,0.021874999999999988,0.965625,0.821875,0.9,1.0,120,4.04164719581604,1.0
bounded_validation,FEI,IoM-GRP,92531,random_key_pool_4,40,0.025,92501,92507,81e5923f2d36076e3e3d8b092d37172ed8f761c152f3ed0ebebc0d2ff2b0080a,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,719,0.959375,1.0,0.9981132311698718,0.02768429487179485,0.940625,0.921875,0.89375,1.0,111,4.10924506187439,1.0
bounded_validation,MOBIO,IoM-GRP,92543,random_key_pool_4,30,0.03333333333333333,92501,92507,13ae0044d1c563802de685cc757b2f28c59d60945c1ace426104c979da33d4c0,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,701,0.675,0.9208333333333333,0.9602843630268199,0.11487068965517243,0.5541666666666667,0.2791666666666667,0.5875,0.7625,116,2.2579643726348877,1.0
