dataset,split_seed,master_seed,policy,threshold,validation_fmr,tar,fmr,genuine_pairs,impostor_pairs
MOBIO,92821,92701,recurring,0.6562500000000001,0.007022324703909444,0.9454545454545454,0.003866248693834901,330,9570
MOBIO,92821,92701,separated,0.6562500000000001,0.006393459805051882,0.9515151515151515,0.004911180773249739,330,9570
MOBIO,92821,92707,recurring,0.6562500000000001,0.005659784089718059,0.9393939393939394,0.008359456635318703,330,9570
MOBIO,92821,92707,separated,0.6562500000000001,0.009432973482863432,0.9606060606060607,0.006792058516196448,330,9570
MOBIO,92821,92717,recurring,0.6562500000000001,0.007336757153338224,0.9303030303030302,0.006687565308254962,330,9570
MOBIO,92821,92717,separated,0.6562500000000001,0.007860811235719526,0.9636363636363636,0.005433646812957157,330,9570
MOBIO,92821,92723,recurring,0.6562500000000001,0.005240540823813018,0.9242424242424242,0.00606060606060606,330,9570
MOBIO,92821,92723,separated,0.6562500000000001,0.0075463787862907455,0.9696969696969696,0.006165099268547542,330,9570
MOBIO,92821,92737,recurring,0.6562500000000001,0.006707892254480662,0.9454545454545453,0.006687565308254964,330,9570
MOBIO,92821,92737,separated,0.6406250000000001,0.00901373021695839,0.9696969696969698,0.013479623824451411,330,9570
MOBIO,92821,92753,recurring,0.6562500000000001,0.005135730007336757,0.9242424242424243,0.005015673981191223,330,9570
MOBIO,92821,92753,separated,0.6562500000000001,0.009852216748768473,0.9454545454545454,0.005747126436781608,330,9570
MOBIO,92821,92761,recurring,0.6562500000000001,0.00890891940048213,0.9606060606060607,0.006165099268547543,330,9570
MOBIO,92821,92761,separated,0.6562500000000001,0.006603081438004402,0.9272727272727271,0.007941483803552769,330,9570
MOBIO,92821,92767,recurring,0.6562500000000001,0.008280054501624569,0.9454545454545455,0.006269592476489025,330,9570
MOBIO,92821,92767,separated,0.6562500000000001,0.006393459805051882,0.9363636363636362,0.007314524555903866,330,9570
MOBIO,92821,92779,recurring,0.6562500000000001,0.008594486951053349,0.9575757575757576,0.007001044932079414,330,9570
MOBIO,92821,92779,separated,0.6562500000000001,0.007441567969814484,0.9121212121212122,0.007314524555903866,330,9570
MOBIO,92821,92789,recurring,0.6562500000000001,0.00869929776752961,0.9242424242424242,0.005224660397074189,330,9570
MOBIO,92821,92789,separated,0.6562500000000001,0.0068127030709569224,0.9818181818181818,0.004911180773249739,330,9570
MOBIO,92821,92801,recurring,0.6562500000000001,0.006393459805051882,0.9575757575757576,0.005747126436781608,330,9570
MOBIO,92821,92801,separated,0.6562500000000001,0.006288648988575621,0.9333333333333333,0.0034482758620689655,330,9570
MOBIO,92821,92809,recurring,0.6562500000000001,0.005030919190860497,0.9272727272727274,0.004493207941483803,330,9570
MOBIO,92821,92809,separated,0.6562500000000001,0.006393459805051882,0.9666666666666668,0.00574712643678161,330,9570
MOBIO,92831,92701,recurring,0.6562500000000001,0.005120167189132706,0.9272727272727274,0.007732497387669802,329,9541
MOBIO,92831,92701,separated,0.6562500000000001,0.005851619644723093,0.9303030303030303,0.006907001044932078,329,9541
MOBIO,92831,92707,recurring,0.6562500000000001,0.00909090909090909,0.9363636363636364,0.005977011494252873,329,9541
MOBIO,92831,92707,separated,0.6406250000000001,0.009822361546499478,0.9693939393939395,0.011389759665621732,329,9541
MOBIO,92831,92717,recurring,0.6562500000000001,0.005747126436781609,0.9575757575757576,0.005747126436781608,329,9541
MOBIO,92831,92717,separated,0.6406250000000001,0.009717868338557993,0.9415151515151515,0.01431556948798328,329,9541
MOBIO,92831,92723,recurring,0.6562500000000001,0.004702194357366771,0.9545454545454546,0.0059561128526645765,329,9541
MOBIO,92831,92723,separated,0.6562500000000001,0.005538140020898642,0.9272727272727274,0.0059561128526645765,329,9541
MOBIO,92831,92737,recurring,0.6562500000000001,0.006374085684430512,0.9209090909090908,0.007105538140020898,329,9541
MOBIO,92831,92737,separated,0.6562500000000001,0.006269592476489028,0.9545454545454545,0.00606060606060606,329,9541
MOBIO,92831,92753,recurring,0.6562500000000001,0.007523510971786834,0.881818181818182,0.004921630094043886,329,9541
MOBIO,92831,92753,separated,0.6562500000000001,0.006374085684430512,0.9242424242424242,0.0071159874608150465,329,9541
MOBIO,92831,92761,recurring,0.6562500000000001,0.006165099268547545,0.9393939393939394,0.0065830721003134795,329,9541
MOBIO,92831,92761,separated,0.6406250000000001,0.009717868338557993,0.9818181818181819,0.012048066875653081,329,9541
